BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
JEVARGI,Pulses,2022-07-02T15:21:57.033,"Green Gram (Moong Bean/ Moong)",GULBARGA,1799571,"--Recommended to spray SAMRUDDHI/MULTIPLEX tonic @ 2ml/litre of water
","Asked about Nutrient management in   GREEN GRAM
","Nutrient Management",NA,AGRICULTURE,KARNATAKA,2,7,2022
RAMDURG,Others,2022-07-02T15:38:38.257,Others,BELGAUM,1799655,"25/06/2022
Mandi  : Belgaum
Commodity : Onion
(Modal Price): 1700/Quintal","Farmer asked price detail of Onion in Belgaum mandi.","Market Information",NA,AGRICULTURE,KARNATAKA,2,7,2022
HOSDURGA,Others,2022-07-02T15:41:17.75,Others,CHITRADURGA,1799408,"CALL DISCONNECTED
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
HOSDURGA,"Plantation Crops",2022-07-02T15:45:20.423,Arecanut,CHITRADURGA,1799425,"Suggested to spray copper oxychloride  @ 3g/lit of water.","Asked about plant protection in arecanut.
","	Plant Protection	",NA,HORTICULTURE,KARNATAKA,2,7,2022
HOSDURGA,"Plantation Crops",2022-07-02T15:46:27.363,Arecanut,CHITRADURGA,1799424,"Suggested to Apply:- 15:15:15 @ 150g/palm.
","Asked about Nutrient management in arecanut
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,2,7,2022
HAVERI,Others,2022-07-02T15:49:06.06,Others,HAVERI,1799591,"--Information is given and also suggested to contact Raitha samparka kendra and agricultural department .
","Asked about General information   
","Soil Health Card",NA,AGRICULTURE,KARNATAKA,2,7,2022
DEVADURGA,Others,2022-07-02T15:54:40.853,Others,RAICHUR,1799453,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
TUMKUR,Others,2022-07-02T15:57:53.037,Others,TUMKUR,1799335,"01/07/2022
Mandi  : Tumkur
Commodity : Arecanut(Betelnut/Supari)
(Modal Price): 49100/Quintal","Farmer asked price detail of Arecanut(Betelnut/Supari) in Tumkur mandi.","Market Information",NA,AGRICULTURE,KARNATAKA,2,7,2022
MANVI,"Fiber Crops",2022-07-02T16:06:59.827,"Cotton (Kapas)",RAICHUR,1799661,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
CHINCHOLI,Others,2022-07-02T16:09:31.21,Others,GULBARGA,1799356,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
