BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
YELBURGA,Others,2022-03-13T11:53:21.807,Others,KOPPAL,884719,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ  ಮಳೆ ನಿರೀಕ್ಷೆಇಲ್ಲ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 080-67735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,13,3,2022
"0   ",Others,2022-03-13T11:55:29.163,Others,HASSAN,884731,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,13,3,2022
TUMKUR,Vegetables,2022-03-13T12:03:24.627,Chillies,TUMKUR,883871,"Given necessary information
","Asked about nutrient management
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,13,3,2022
NARAGUND,Others,2022-03-13T12:07:51.477,Others,GADAG,884722,"ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಇಂದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದ್ದು ಮಳೆ ನಿರೀಕ್ಷೆ (60% ) . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣಮಿತ್ರ ಅನ್ನು ಸಂಪರ್ಕಿಸಿ 08067735999, 9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,13,3,2022
CHANNAGIRI,"Plantation Crops",2022-03-13T12:27:02.31,Coconut,DAVANAGERE,885513,"Given necessary information about poison bait technique                 
","Asked about Plant protection in coconut 
","	Plant Protection	",NA,HORTICULTURE,KARNATAKA,13,3,2022
CHANNAGIRI,"Plantation Crops",2022-03-13T12:28:29.207,Arecanut,DAVANAGERE,885514,"Suggested to apply Complex fertilizer and micronutrients 
","Asked about Nutrient management in  arecanut  
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,13,3,2022
DEVADURGA,Inland,2022-03-13T12:54:41.47,"Fresh Water",RAICHUR,885541,"Animal husbandary : 8277100200
","Asked about general information 
","Tank, Pond and Reservoir Management",NA,FISHERIES,KARNATAKA,13,3,2022
JAGALUR,Others,2022-03-13T13:04:19.753,Others,DAVANAGERE,885519,"11/03/2022
Mandi  : Bangalore
Commodity : Onion
(Modal Price): 1500/Quintal","Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,KARNATAKA,13,3,2022
SHIKARPUR,Others,2022-03-13T13:15:38.873,Others,SHIMOGA,885533,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 15% ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,13,3,2022
HARAPPANAHALLI,"Medicinal and Aromatic Plants",2022-03-13T13:20:32.883,Satawar,DAVANAGERE,885524,"Information is given and suggested to contact Horticulture department 
","Asked about General information on harvesting method 
","Cultural Practices",NA,HORTICULTURE,KARNATAKA,13,3,2022
