BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
Yadagiri,"Fiber Crops",2024-09-04T07:24:05.533,"Cotton (Kapas)",YADAGIRI,2367732,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  , ನಂತರ  ಭಾಗಶಃ   ಮೋಡ ಕವಿದ ವಾತಾವರಣ ಮುಂದು ವರಿಯಲಿದೆ   ಹೆ ಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735 999   ಮತ್ತು  9243345433  
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,KARNATAKA,4,9,2024
Shorapur,Others,2024-09-04T13:24:10.907,Others,YADAGIRI,2367560,"Information is given and suggested to call back after obtaining Registration number .
ಮಾಹಿತಿ ನೀಡಲಾಗಿದೆ ಮತ್ತು ನೋಂದಣಿ ಸಂಖ್ಯೆಯನ್ನು ಪಡೆದ ನಂತರ ಮರಳಿ ಕರೆ ಮಾಡಲು ಸೂಚಿಸಲಾಗಿದೆ .
","Asked about pm kisan samman nidhi yojana  
","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,9,2024
Shahpur,Others,2024-09-04T16:39:59.163,Others,YADAGIRI,2373038,"Farmer should apply in any nationalized bank. After approval, farmer will get free ATM cum debit card . Interest subvention @4% p.a is available for loan amount upto Rs. 3 Lacs. Additional interest subvention @3% p.a for prompt repayments.
","Asked about Kisan credit card                                                                                                              ","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,9,2024
Yadagiri,Pulses,2024-09-04T17:00:54.397,"Pigeon pea (red gram/arhar/tur)",YADAGIRI,2373024,"Asked about weather report for  fertilizer application in redgram.
ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 80% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  , ನಂತರ  ಭಾಗಶಃ   ಮೋಡ ಕವಿದ ವಾತಾವರಣ ಮುಂದು ವರಿಯಲಿದೆ   ಹೆ ಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735 999    ಮತ್ತು  9243345433  
80% rain expected in your taluk followed by partly cloudy weather For more information call Varuna Mitra - 08067735999 and 9243345433.
","Farmer asked query on Weather","Nutrient Management",NA,AGRICULTURE,KARNATAKA,4,9,2024
Shahpur,"Fiber Crops",2024-09-05T10:49:36.477,"Cotton (Kapas)",YADAGIRI,2377650,"ಅವರು ಬೆಳೆಗಳ ಕೃಷಿ ಪದ್ಧತಿಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಹುದು ಆದ್ದರಿಂದ ಮಳೆ ಯಾವಾಗ ನಿಲ್ಲುತ್ತದೆ ಎಂದು ಹವಾಮಾನದ ಬಗ್ಗೆ ಕೇಳಿದರು

ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 80% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು, ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ ,   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  92433454333 
80% rain expected in your taluk, partly cloudy weather, for more information call Varuna Mitra - 08067735999 and 92433454333
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,KARNATAKA,5,9,2024
Shorapur,Vegetables,2024-09-05T15:29:21.423,Chillies,YADAGIRI,2377492,"To recover chilli crop from abiotic stress due to water logged condition: Suggested to spray Biostimulants Like combination of Amino acid,Humic acid,Fulvic acid and Seaweed Extract 
ನೀರು ತುಂಬಿದ ಸ್ಥಿತಿಯಿಂದಾಗಿ ಅಜೈವಿಕ ಒತ್ತಡದಿಂದ ಮೆಣಸಿನಕಾಯಿಯನ್ನು ಚೇತರಿಸಿಕೊಳ್ಳಲುಃ ಅಮೈನೋ ಆಮ್ಲ, ಹ್ಯೂಮಿಕ್ ಆಮ್ಲ, ಫುಲ್ವಿಕ್ ಆಮ್ಲ ಮತ್ತು ಕಡಲ ಕಳೆ ಸಾರಗಳ ಸಂಯೋಜನೆಯಂತಹ ಜೈವಿಕ ಉತ್ತೇಜಕಗಳನ್ನು ಸಿಂಪಡಿಸಲು ಸೂಚಿಸಲಾಗಿದೆ.","Asked about what to spray to recover chilli crop from abiotic stress due to water logged condition","Bio-Pesticides and Bio-Fertilizers",NA,HORTICULTURE,KARNATAKA,5,9,2024
Shorapur,Others,2024-09-06T11:43:54.73,Others,YADAGIRI,2388558,"ಅಗತ್ಯ ಮಾಹಿತಿ ನೀಡಿ ಪಿಎಂ ಕಿಸಾನ್ ಸಮ್ಮಾನ್ ನಿಧಿ ಸಹಾಯವಾಣಿ ಸಂಖ್ಯೆ-155261/011-24300606, ಕರ್ನಾಟಕ ರೈತ ಕಾಲ್ ಸೆಂಟರ್ 18004253553 ಅನ್ನು ಸಂಪರ್ಕಿಸಲು ಮತ್ತು ಹತ್ತಿರದ ರೈತ ಸಂಪರ್ಕ ಕೇಂದ್ರಕ್ಕೆ ಭೇಟಿ ನೀಡಲು ಸೂಚಿಸಲಾಗಿದೆ.","Asked about PM Kisan Samman Nidhi yojana
","Government Schemes",NA,AGRICULTURE,KARNATAKA,6,9,2024
Yadagiri,Others,2024-09-10T09:27:20.56,Others,YADAGIRI,2423649,"ಅಗತ್ಯ ಮಾಹಿತಿ ನೀಡಿ ಆರ್. ಎಸ್. ಕೆ. ಅಥವಾ ಕೃಷಿ ಇಲಾಖೆಯನ್ನು ಸಂಪರ್ಕಿಸಲು ಸೂಚಿಸಲಾಗಿದೆ ","Asked about FID number update","Government Schemes",NA,AGRICULTURE,KARNATAKA,10,9,2024
Shahpur,"Fiber Crops",2024-09-12T11:13:04.487,"Cotton (Kapas)",YADAGIRI,2442720," ಹತ್ತಿ
RAICHUR	11/09/2024	HYBRID-44		6850 - 7600","Asked about Market rate of Cotton","Market Information",NA,AGRICULTURE,KARNATAKA,12,9,2024
Shahpur,Vegetables,2024-09-12T11:14:07.307,Chillies,YADAGIRI,2442718," ಒಣ ಮೆಣಸಿನಕಾಯಿ
BENGALURU	11/09/2024	Byadgi		18000 - 28000	
BENGALURU	11/09/2024	Guntur		14000 - 18000","Asked about Market rate of Chilli","Market Information",NA,HORTICULTURE,KARNATAKA,12,9,2024
