BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
NILANGA,Others,2022-07-02T15:11:10.46,Others,LATUR,1799857,"तालुका  हवामान अंदाज - या 5 दिवसात वातावरण ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान  22 ℃ आणि कमाल  33   ℃ , वाऱ्याचा वेग ताशी 12   किलोमीटर.. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
ARVI,Others,2022-07-02T15:14:37.893,Others,WARDHA,1799849,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 33 अंश सेल्सियस आणि किमान -22 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  14 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
MANGRULPIR,Others,2022-07-02T15:18:30.193,Others,WASHIM,1799973,"  वाशीम जिल्यातील मंगरुळपीर तालुक्याचा हवामान अंदाज -येत्या आठवड्यात वातावरण ढगाळ राहील आणि हलक्या ते मध्यम पावसाची शक्यता  आहे 
जास्तीत जास्त तापमान = 35 (℃)
कमीत कमी तापमान =   25 (℃)
जास्तीत जास्त आद्रता = 75 %
कमीत कमी आद्रता  = 48 %
वाऱ्याचा वेग = 19  कि .मी / तास 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
TULJAPUR,Others,2022-07-02T15:20:03.683,Others,OSMANABAD,1799790,"०२/०७/२०२२ हवामान विभागाच्या अंदाजानुसार आपल्या  तुलजापुर  तालुक्यात - या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील. हलक्या ते तुरळक पावसाची शक्यता आहे  . आजचे तापमान -कमाल - 32 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस  ,वाऱ्याचा वेग - तासी  25  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
SILLOD,Others,2022-07-02T15:20:37.987,Others,AURANGABAD,1800026,"सौर पंप योजनेची लिंक https://www.mahadiscom.in/","farmer asked about link of solar pump  yojana  ?","Agriculture Mechanization",NA,AGRICULTURE,MAHARASHTRA,2,7,2022
LOHARA,Others,2022-07-02T15:22:13.74,Others,OSMANABAD,1799789,"लोहारा तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान - २६℃ आणि कमाल- ३२ ℃ वाऱ्याचा वेग ताशी - १२ किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
KALAMNURI,Others,2022-07-02T15:22:51.337,Others,HINGOLI,1799778,"हवामान विभागाच्या अंदाजानुसार आपल्या कळमनुरी तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 34 अंश सेल्सियस आणि किमान -24 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  19 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
MALEGAON,Vegetables,2022-07-02T15:30:22.94,Onion,NASIK,1799916,"01/07/2022
Mandi  : Vashi New Mumbai
Commodity : Onion
(Modal Price): 1350/Quintal","Farmer asked price detail of Onion in Vashi New Mumbai mandi.","Market Information",NA,HORTICULTURE,MAHARASHTRA,2,7,2022
MALEGAON,Vegetables,2022-07-02T15:30:48.417,Onion,NASIK,1799917,"30/06/2022
Mandi  : Sangamner
Commodity : Onion
(Modal Price): 750/Quintal","Farmer asked price detail of Onion in Sangamner mandi.","Market Information",NA,HORTICULTURE,MAHARASHTRA,2,7,2022
BHATKULI,Oilseeds,2022-07-02T15:37:32.83,"Soybean (bhat)",AMRAVATI,1799744,"सोयाबीन पीक मध्ये - उगवणीनंतर 21 दिवसांनी परस्युट ( इमॅझीथापर 10 % एस.एल.) 20 मि.लि./10 लिटर पाण्यात मिसळून तणांवर फवारावे. धन्यवाद 
","farmer ask about weed management in soybean crop ?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,2,7,2022
MAHAGAON,Pulses,2022-07-02T15:47:03.617,"Pigeon pea (red gram/arhar/tur)",YEVATMAL,1800095,"तूर -तण नाशक क्विझालो फॉफ इथाइल (5% ईसी)- 15 ते 20 मि.लि./10 लिटर पाण्यात मिसळून पीक उगवणीनंतर 21 दिवसांनी फवारावे. (टरगा सुपर)
","farmer asked about Weed management in Tur ?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,2,7,2022
MOHADI,Others,2022-07-02T15:57:59.513,Others,BHANDARA,1799740,"भंडारा जिल्ह्यातील मोहाडी तालुक्यातील  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे, तुरळक पावसाची शक्यता आहे. धन्यवाद !
तापमान = ३२ ०सें. - २२ ०सें ; आद्रता = ७६ % - ५३ % ; वाऱ्याचा वेग = १२ किमी/ताशी. धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
PARNER,Others,2022-07-02T15:58:00.34,Others,AHMADNAGAR,1800031,"--शेती विषयी आणि सरकारी कृषी योजना संबधी अधिक माहिती साठी संपर्क साधा,
⦁	तालुका कृषी अधिकारी याना भेट द्या .
⦁	आपले गाव कृषी सहायक अधिकारी 
⦁	गाव कामगार तलाठी कार्यालय
⦁	तालुका तहसील कार्यालय
⦁	कृषी आयुक्तालय पुणे :- ०२० २६१२ ७८४०
⦁	कृषी विभाग महाराष्ट्र शासन:- १८०० २३३ ४०००
","Farmer asked about Government Scheme ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,7,2022
MANGALVEDHE,Millets,2022-07-02T15:59:39.487,"Maize (Makka)",SOLAPUR,1799784,"मका -तण नाशक - २,४ -डी पीक पेरणीनंतर ३-४ आठवडयांनी ४० ग्रॅम /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी 
","FARMER ASKED ABOUT WEED MANAGEMENT IN MAIZE ?
","Weed Management",NA,AGRICULTURE,MAHARASHTRA,2,7,2022
ARNI,Others,2022-07-02T16:05:24.823,Others,YEVATMAL,1800036,"आर्णी तालुका हवामान अंदाज -येत्या आठवड्यात ढगाळ वातावरण राहील,तुरळक ते हलक्या पावसाची शक्यता आहे ,आजचे तापमान(अंश,सेल्सियस ) -26 आणि कमाल 29 वाऱ्याचा वेग(किमी/तास) -11,धन्यवाद .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,7,2022
