BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SHAHADA,Others,2022-03-24T13:49:54.68,Others,NANDURBAR,972145,"--visit to nearest csc centre","asked about pm kisan","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
NAGAR,Oilseeds,2022-03-24T13:53:23.857,"Soybean (bhat)",AHMADNAGAR,971994,"क्लोरोपायरीफोस 30 मिलि /१५ लिटर पाण्यात घेवून फवारणी करावी.
","FARMER ASKED ABOUT ATTACK OF CATERPILLAR IN SOYBEAN CROP?
","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
GHANSAWANGI,Others,2022-03-24T14:00:10.353,Others,JALNA,971845,"२३/०३/२०२२ - जालना मार्केट - गहू बाजारभाव -  कमीत कमी - १९०० रु/क्विंटल, जास्तीत जास्त - २३०० रु/क्विंटल, सरासरी भाव - २२५० रु/क्विंटल; ज्वारी बाजारभाव -  कमीत कमी - १६०० रु/क्विंटल, जास्तीत जास्त - २७११ रु/क्विंटल, सरासरी भाव - २१५० रु/क्विंटल, बाजरी बाजारभाव -  कमीत कमी - १९०० रु/क्विंटल, जास्तीत जास्त - २३९५ रु/क्विंटल, सरासरी भाव - १९०० रु/क्विंटल .धन्यवाद! 
","FARMER ASKED ABOUT MARKET RATE OF WHEAT, JOWAR AND BAJARA IN JALNA MARKET?","Market Information",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
HADGAON,Others,2022-03-24T11:44:55.693,Others,NANDED,967855,"हवामान विभागाच्या अंदाजानुसार ,आपल्या तालुक्यात येत्या आठवड्यात ढगाळ वातावरण राहील पावसाची शक्यता तुरळक आहे . आजचे तापमान - कमाल 38 अंश सेल्सियस आणि किमान 25   अंश सेल्सियस  ,वाऱ्याचा वेग - तासी 6 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
LOHA,Others,2022-03-24T11:51:46.297,Others,NANDED,967675," लोहा तालुका वातावरण अंदाज आज पासून येणारे दहा दिवस हलक्या मध्यम स्वरूपाचे ढगाळ राहील आणि पावसाची शक्‍यता राहणार नाही आजचे तापमान 25 अंश सेल्सिअस ते 35 अंश सेल्सिअस पर्यंत आहे वाऱ्याचा वेग ताशी तीन ते पाच किलोमीटर आहे आणि वाऱ्याची दिशा पश्चिम ते पूर्व आहे धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
BADNAPUR,Others,2022-03-24T11:53:10.423,Others,JALNA,967723,,"Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
SHIRALA,Others,2022-03-24T11:53:42.67,Others,SANGLI,967697,"शिरला तालुका हवामान अंदाज - ह्या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील आणि पावसाची शक्यता नाही. तापमान- किमान-23 ℃, कमाल- 36 ℃,वाऱ्याचा वेग 12 कि.मी. / तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
BAGLAN,Others,2022-03-24T11:54:00.127,Others,NASIK,967807,"बागलन  तालुका नाशिक  जिल्हा हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,हलक्‍या पावसाची शक्यता आहे.
तापमान(अंश सेल्सियस ) -२९  आणि कमाल- ३९ ,
वाऱ्याचा वेग(किमी/तास) -१२ ,धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
NANDGAON,Others,2022-03-24T12:08:47.583,Others,NASIK,972082,"हवामान विभागाच्या अंदाजानुसार, आपल्या नांदगाव तालुक्यात येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची  शक्यता नाही. आजचे तापमान - कमाल - ३८ अंश सेल्सियस आणि किमान - २० अंश सेल्सियस, वाऱ्याचा वेग - तासी २० किलोमीटर आहे. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
PUSAD,Others,2022-03-24T12:09:55.503,Others,YEVATMAL,971997,"पुसद तालुका हवामान अंदाज - येत्या आठवड्यामध्ये वातावरण ढगाळ आहे आणि पावसाची शक्यता नाही आजचे तापमान जास्तीत जास्त - ४० अंश सेल्सिअस , कमीत कमी - २३ अंश सेल्सिअस , वाऱ्याचा वेग ७ किलोमीटर प्रति तास आहे . ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
AUSA,"Sugar and Starch Crops",2022-03-24T12:11:11.42,"Sugarcane (Noble Cane)",LATUR,972229,"ऊस फवारणी - कराटे(लाम्बडा सायलोथ्रीन ) - 15 मिली / १५ लिटर पाण्यातून फवारणी करा.","FARMER ASKED ABOUT STEM BORER ATTACK ON SUGARCANE CROP ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
KAIJ,"Sugar and Starch Crops",2022-03-24T12:21:40.35,"Sugarcane (Noble Cane)",BEED,972126,"उसावरची काणी – चाबूक काजळी हा रोग सर्वांना परिचित आहे.  अशी चाबूक काणी प्लास्टिकच्या पोत्यात काढून घेवून ते सर्व बेत मुळासह उपटून जाळून टाकाव,  बेण्यास उष्णजल प्रक्रिया करावी.  तसंच १०० ग्रॅम कार्बेन्डॅझिम + १०० लिटर पाण्यात कांडीप्रक्रिया करावी.  रोगप्रतिकारक ६७१, ८६०३२, ९४०१२ या जाती लावाव्यात.","FARMER ASKED ABOUT ATTACK OF SMUT ON RATOON SUGARCANE ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
HIMAYATNAGAR,Others,2022-03-24T12:30:34.94,Others,NANDED,972026,"नांदेड जिल्हा हिमायतनगर तालुका हवामान अंदाज -- येत्या आठवड्यात वातावरण ढगाळ राहील,  पावसाची शक्यता नाही,  तापमान  - किमान -  २० ℃ आणि कमाल - 40 ℃ , आद्रता- 25 %, वाऱ्याचा वेग ताशी - 7 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
JATH,Others,2022-03-24T12:33:26.197,Others,SANGLI,972069,"हवामान खात्यानुसार आपल्या जत तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या पावसाची शक्यता आहे.
कमाल तापमान - 36 ℃ ,किमान तापमान - 24 ℃ .
वाऱ्याचा वेग - 13 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
MAHAGAON,Others,2022-03-24T12:46:55.53,Others,YEVATMAL,972417,"महागाव तालुका हवामान अंदाज - येत्या आठवड्यामध्ये वातावरण ढगाळ आहे आणि पावसाची शक्यता नाही आजचे तापमान जास्तीत जास्त - ४० अंश सेल्सिअस , कमीत कमी - २३ अंश सेल्सिअस , वाऱ्याचा वेग ७ किलोमीटर प्रति तास आहे . 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
AMGAON,Others,2022-03-24T12:52:13.08,Others,GONDIYA,972136,"शेती विषयी शासकीय योजनांबद्दल अधिक माहितीसाठी तालुका कृषी अधिकारी याना भेट द्या.
","FARMER ASKING ABOUT GOVERNMENT SCHEME?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
LATUR,Others,2022-03-24T12:56:55.123,Others,LATUR,971861,"हवामान विभागाच्या अंदाजानुसार, आपल्या लातूर तालुक्यात येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची  शक्यता नाही. आजचे तापमान - कमाल - ३८ अंश सेल्सियस आणि किमान - २३ अंश सेल्सियस, वाऱ्याचा वेग - तासी ११ किलोमीटर आहे. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
LATUR,Vegetables,2022-03-24T13:03:39.03,Chillies,LATUR,971863,"मिरची पिकावरील रस शोषक कीड नियंत्रण - इमिडाक्लोप्रिड १७.८% एस एल - ७ मिली/ १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.धन्यवाद! 
","FARMER ASKED ABOUT CONTROL OF SUCKING PEST ATTACK ON CHILLI CROP?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,24,3,2022
RALEGAON,Others,2022-03-24T16:38:58.867,Others,YEVATMAL,971926,"हवामान खात्यानुसार आपल्या राळेगाव तालुक्यात ह्या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता नाही.
कमाल तापमान - 39 ℃ ,किमान तापमान - 24 ℃ .
वाऱ्याचा वेग - 5 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
MALKAPUR,Others,2022-03-24T16:42:18.7,Others,BULDANA,972238,"हवामान विभागाच्या अंदाजानुसार ,आपल्या    तालुक्यात येत्या आठवड्यात ढगाळ वातावरण राहील, पावसाची शक्यता आहे   . येत्या आठवड्यात तापमान - कमाल -३९  अंश सेल्सियस आणि किमान - २७  अंश सेल्सियस, वाऱ्याचा वेग - ९   किलोमीटर/ तास राहील . हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, पीक काढणी  सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद! ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
BARSHI,Others,2022-03-24T16:52:11.147,Others,SOLAPUR,972006,"बार्शी तालुका हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची शक्यता आहे  , तापमान - किमान - 27 ℃ आणि कमाल-36℃ , वाऱ्याचा वेग ताशी -7 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
"CHANDUR RIL",Cereals,2022-03-24T16:53:59.33,Wheat,AMRAVATI,972095,"23/03/2022
Mandi  : Amarawati
Commodity : Wheat
(Modal Price): 2175/Quintal","Farmer asked price detail of Wheat in Amarawati mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,24,3,2022
MAHUR,Others,2022-03-24T16:59:12.603,Others,NANDED,972070,"हवामान खात्यानुसार आपल्या माहूर तालुक्यात ह्या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता नाही.
कमाल तापमान - 38 ℃ ,किमान तापमान - 24 ℃ .
वाऱ्याचा वेग - 5 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
WADWANI,Others,2022-03-25T09:07:31.12,Others,BEED,976563," हवामान विभागाच्या माहितीनुसार वडवणी तालुक्यातील हवामानाचा अंदाज  येत्या 10 दिवसात वातावरण ढगाळ राहील त्याचबरोबर सूर्यप्रकाशित असेल, पावसाची शक्यता हलक्‍या स्वरूपाची वर्तवलेली आहे.तापमान -किमान 30 अंश सेल्सियस आणि कमाल  38 अंश सेल्सियस. वाऱ्याचा वेग 7 किमी /तासी राहील. हवामान अंदाजानुसार खत व्यवस्थापन,सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
KARJAT,Others,2022-03-25T09:11:33.993,Others,AHMADNAGAR,976605,"सौर पंप योजनेबद्दल अधिक माहितीसाठी कृपया 1800 102 3435 वर संपर्क साधा किंवा जवळपास महावितरण कार्यालयला भेट द्या.
","ASKING ABOUT SOLAR PUMP SCHEME ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,3,2022
"CHANDUR BZ",Others,2022-03-25T09:11:40.903,Others,AMRAVATI,976546,"हवामान विभागाच्या अंदाजानुसार  आपल्या तालुक्यात पुढील 5 दिवसात  वातावरण ढगाळ आहे . हलक्या पावसाची शक्‍यता आहे . तापमान कमीत कमी 22 अंश सेल्सिअस , जास्तीत जास्त 40 अंश सेल्सिअस , वाऱ्याचा वेग 12 किलोमीटर / तास . 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
WADWANI,Others,2022-03-25T09:14:33.157,Others,BEED,976560,"हवामान विभागाच्या अंदाजानुसार ,आपल्या वडवणी  तालुक्यात पुढील 5 दिवसांत वातावरण ढगाळ आहे आज पावसाची  शक्यता नाही.आजचे तापमान - कमाल - 37 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस  ,वाऱ्याचा वेग - तासी 8 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
VAIJAPUR,Others,2022-03-25T09:19:15.027,Others,AURANGABAD,976526,"गवत वर्गीय पिकामध्ये रोषणारा कीडनियंत्रणासाठी - अॅक्टरा (थायोमिथोझोम 25%) 5 ग्रॉम/15 लिटर पाण्यामध्ये घेऊन फवारणी करावी
","ASKED ABOUT SUCKING PEST ATTACK ON GHASS?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,25,3,2022
NEVASA,Others,2022-03-25T09:19:22.577,Others,AHMADNAGAR,976592,"किसान कृषी प्रदर्शन संपर्क क्रमांक  - 91 20 3025 2000 ","Farmer asked about  contact number of  Kisan Krushi Pradarshan ?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,3,2022
SATARA,Others,2022-03-25T09:19:26.557,Others,SATARA,976619," हवामान विभागाच्या माहितीनुसार सातारा तालुक्यातील हवामानाचा अंदाज  येत्या 10 दिवसात वातावरण ढगाळ राहील त्याचबरोबर सूर्यप्रकाशित असेल, पावसाची शक्यता हलक्‍या स्वरूपाची वर्तवलेली आहे.तापमान -किमान 24 अंश सेल्सियस आणि कमाल  32 अंश सेल्सियस. वाऱ्याचा वेग 7 किमी /तासी राहील. हवामान अंदाजानुसार खत व्यवस्थापन,सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
BHUSAWAL,"Sugar and Starch Crops",2022-03-25T09:19:31.5,"Sugarcane (Noble Cane)",JALGAON,976518,"ऊस पिकासाठी खत मात्रा - १२:६१:०० - ६० ग्राम + मिक्रोला - ३० मिली + बाविस्टीन - ३० ग्राम / १५ लिटर पाण्यात घेऊन फवारणी करा. ","FARMER ASKED ABOUT FERTILIZER DOSE FOR SUGARCANE?","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,25,3,2022
KAIJ,Others,2022-03-25T09:22:11.617,Others,BEED,976620,"वातावरण अंदाज -  येणाऱ्या 5  दिवसात वातावरण ढगाळ राहील    पावसाची शक्यता नाही.तापमान - कमाल  38अंश सेल्सियस आणि किमान 23अंश सेल्सियस, वाऱ्याचा वेग - तासी  15 किलोमीटर आहे. धन्यवाद 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
KHATAV,Others,2022-03-25T09:26:18.733,Others,SATARA,976617,"खटाव तालुका हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील , हलक्या पावसाची शक्यता आहे  , तापमान  - किमान - २२ ℃ आणि कमाल - ३६ ℃ , वाऱ्याचा वेग ताशी - १४ किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,3,2022
AHEMADPUR,Others,2022-03-24T14:05:28.573,Others,LATUR,972024,"अहमदपूर तालुका हवामान अंदाज -- येत्या आठवड्यात वातावरण ढगाळ राहील,  पावसाची शक्यता नाही,  तापमान  - किमान -  24 ℃ आणि कमाल - 40℃ , आद्रता- 25 %, वाऱ्याचा वेग ताशी - 11 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,3,2022
