BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
DIGRAS,Others,2022-06-22T14:20:49.507,Others,YEVATMAL,1688961,"हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,हलक्‍या ते मध्यम पावसाची शक्यता आहे 
तापमान(अंश सेल्सियस ) -22  आणि कमाल- 35 ,
वाऱ्याचा वेग(किमी/तास) -15 ,धन्यवाद..
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
BHOKAR,Others,2022-06-22T14:21:23.72,Others,NANDED,1688946,"बांधावरील गवताच्या नियंत्रणासाठी राऊंड UP  या तणनाशकाची फवारणी करा धन्यवाद","ASKED ABOUT HERBICIDE FOR BUND WEED CONTROL ?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,22,6,2022
DIGRAS,Others,2022-06-22T14:29:13.377,Others,YEVATMAL,1689634,"हवामान विभागाच्या अंदाजानुसार आपल्या डिग्रास तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 33 अंश सेल्सियस आणि किमान -23 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  11 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
AUSA,Others,2022-06-22T14:29:45.28,Others,LATUR,1689660,"हवामान विभागाच्या अंदाजानुसार पुढील 5 दिवसात वातावरण ढगाळ असेल . हलक्‍या ते मध्यम   स्वरूपाच्या पावसाची शक्‍यता आहे . तापमान कमीतकमी  23 अंश सेल्सिअस . जास्तीत जास्त 35 अंश सेल्सिअस . वाऱ्याचा वेग 14 किलोमीटर प्रतितास.. धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
AMBAD,Fruits,2022-06-22T14:32:36.85,Pomegranate,JALNA,1689628,"डाळिंब पिकामधील खतमात्रा - १२:६१:०० - २ ते ३ किलो + मायक्रोला - ३०० मिली/ २०० लिटर पाण्यात घेऊन प्रति एकरी ठिबकद्वारे द्यावे. धन्यवाद!
","FARMER ASKED ABOUT FERTILIZER DOSE FOR POMEGRANATE?","Fertilizer Use and Availability",NA,HORTICULTURE,MAHARASHTRA,22,6,2022
"PARALI  V .",Others,2022-06-22T14:33:13.31,Others,BEED,1689639,"परळी वैजनाथ तालुका हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,हलक्‍या ते मध्यम पावसाची शक्यता आहे तापमान(अंश सेल्सियस ) -24 आणि कमाल- 34,
वाऱ्याचा वेग(किमी/तास) -14 ,धन्यवाद ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
"NANDGAON KH",Others,2022-06-22T14:33:50.763,Others,AMRAVATI,1689687,"हवामान खात्यानुसार आपल्या नांदगाव खंडेश्वर तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या - मध्यम पावसाची शक्यता आहे.
कमाल तापमान - 35 ℃ ,किमान तापमान - 22 ℃ .
वाऱ्याचा वेग - 13 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
WARORA,Others,2022-06-22T14:35:38.407,Others,CHANDRAPUR,1689678,"वरोरा हवामान अंदाज :- हवामान विभागाच्या अंदाजानुसार या आठवड्यामध्ये वातावरण ढगाळ वातावरण राहील, हलक्या पावसाची शक्यता आहे  , सरासरी तापमान - कमीत कमी तापमान - २२ अंश सेल्सियस आणि जास्तीत जास्त तापमान - ३५ अंश सेल्सियस राहील , वाऱ्याचा वेग - १३ किलोमीटर/ तास आहे , धन्यवाद. .पावसाच्या अंदाजानुसार पिकांना खत मात्रा, पाणी, तण व्यवस्थापन, कीड नियंत्रण आदी बाबींचे नियोजन करावे , धन्यवाद!","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
BADNAPUR,Others,2022-06-22T14:38:21.613,Others,JALNA,1689653,"कृषी विज्ञान केंद्र जालना-02482-235586 · 02482-238266","FARMER ASK ABOUT KRUSHI VIDNYAN KENDRA JALNA?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,22,6,2022
KARANJA,Others,2022-06-22T14:52:37.907,Others,WASHIM,1689650,"कारंजा तालुका हवामान अंदाज - ह्या आठवड्यामध्ये वातावरण ढगाळ राहील आणि काही भागात हलक्या ते मध्यम पावसाची शक्यता राहील. तापमान- किमान-24 ℃, कमाल- 35 ℃, वाऱ्याचा वेग- 12 कि.मी. / तास.(खरीप पिकांची पेरणी जमिनीमध्ये पुरेसा ओलावा असल्याशिवाय करू नये.), धन्यवाद.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,6,2022
