BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
DAUND,Others,2022-09-24T15:09:19.907,Others,PUNE,2717358,"हवामान अंदाज - वातावरण अंशतः ढगाळ राहील, काही भागात पावसाची शक्‍यता राहील . कमाल तापमान 30 अंश सेल्सिअस, किमान तापमान 21 अंश सेल्सिअस . वाऱ्याचा वेग 17 किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,9,2022
CHOPDA,"Fiber Crops",2022-09-24T15:12:48.43,"Cotton (Kapas)",JALGAON,2717201,"कापूस पीक पाते पुलाच्या अवस्थेमध्ये तणनाशक फवारणी करण्याची शिफारस नाही या अवस्थेमध्ये तणनाशकाची फवारणी केल्यास उत्पादनामध्ये प्रचंड घट होऊ शकते धन्यवाद","Farmer asked about weed management in cotton crop ?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,24,9,2022
KHAMGAON,Others,2022-09-24T15:23:16.673,Others,BULDANA,2717616,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील पावसाची शक्यता नाही   . तापमान -कमाल 28 अंश सेल्सियस आणि किमान 21  अंश सेल्सियस  ,वाऱ्याचा वेग -तासी 16  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,24,9,2022
NER,Oilseeds,2022-09-25T10:08:58.083,"Soybean (bhat)",YEVATMAL,2726251,"सोयाबीन पिकांमधील रस शोहशक कीड नियंत्रण यासाठी - थायमिथोक्साम ५ ग्राम + कार्बेनडाइझम २५ ग्राम / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी . ","FARMER ASKED ABOUT CONTROL OF SUCKING PEST AND BLIGHT ATTACK IN SOYABEAN CROP ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,25,9,2022
JALNA,"Fiber Crops",2022-09-25T10:12:09.793,"Cotton (Kapas)",JALNA,2727101,"-गुलाबी बोंड आळी नियंत्रणासाठी 
-प्रोफेक्स सुपर ३० मिलि /१५ लिटर पाण्यात घेवून फवारणी करावी.(प्रोफेनोफॉस ४० % + सायपरमेथ्रीन  ४ %) 
","FARMER ASKED ABOUT ATTACK OF PINK BOLLWORM ON COTTON ? ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,25,9,2022
MALEGAON,Vegetables,2022-09-25T10:12:35.547,Onion,NASIK,2727111,"कांदा बाजारभाव पिंपळगाव बसवंत बाजार समिती - ५२०-१७६५रू./क्विंटल.","Farmer asked price detail of Onion in Pimpalgaon mandi.","Market Information",NA,HORTICULTURE,MAHARASHTRA,25,9,2022
KELAPUR,Others,2022-09-25T10:18:57.873,Others,YEVATMAL,2727097,"यवतमाळ जिल्ह्यातील केळापूर तालुक्यातील हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे, तुरळक पावसाची शक्यता आहे. धन्यवाद !
तापमान = ३० ०सें. - २२ ०सें ; आद्रता = ८७ % - ५७ % ; वाऱ्याचा वेग = ०९ किमी/ताशी. धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,9,2022
KARJAT,Cereals,2022-09-25T10:20:25.387,"Paddy (Dhan)",AHMADNAGAR,2727082,"भात पिकाला खते -एकरी १० २६ २६ 75 किलो+ युरिया २५ किलो /एकर द्यावे ","FARMER ASKED ABOUT FERTILIZER DOSE FOR PADDY ?","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,25,9,2022
CHANDWAD,Others,2022-09-25T10:31:52.753,Others,NASIK,2727093,"तालुका हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,
हलक्‍या ते मध्यम पावसाची शक्यता आहे 
तापमान(अंश सेल्सियस ) -१८ आणि कमाल- ३२,
वाऱ्याचा वेग(किमी/तास) -१२ ,धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,9,2022
MANGALVEDHE,Fruits,2022-09-25T10:33:15.48,Pomegranate,SOLAPUR,2727098,"डाळिंबासाठी 13:41:13  5 किलो+मिक्रोला 400मिलि /२००लिटर पाण्यात घेऊन एकरी  ठिबक द्वारे द्या.
","FARMER ASKED ABOUT SPRAYING AT FLOWERING STAGE ON POMEGRANATE ?
","Fertilizer Use and Availability",NA,HORTICULTURE,MAHARASHTRA,25,9,2022
SAMUDRAPUR,"Fiber Crops",2022-09-25T10:34:08.35,"Cotton (Kapas)",WARDHA,2727083,"कापूस पिकांमधील खताचा डोस - ००:५२:३४ - ६० ग्राम + सूक्ष्म आनंद्र्व्ये ३० मिली / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी . ","FARMER ASKED ABOUT FERTILIZER DOSE OF COTTON CROP ? ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,25,9,2022
