BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
OSMANABAD,Others,2023-03-21T19:50:31.84,Others,OSMANABAD,4736627,"धाराशिव तालुका हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,हलक्‍या ते मध्यम पावसाची शक्यता आहे तापमान(अंश सेल्सियस ) -25 आणि कमाल- 32
वाऱ्याचा वेग(किमी/तास) -7,.........................................
धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,21,3,2023
GHANSAWANGI,Others,2023-03-22T10:41:16.257,Others,JALNA,4745575,"⦁	आळवनी द्वारे  कोपर ऑक्सिक्लोराईड ५० % ()- 30 ग्रॅम + हुमिक अॅसिड 30 मिलि /१५ लिटर पाण्यातून द्यावे (ब्ल्यु कॉपर) 
","Farmer asked control of  of Powdery mildew ?","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,22,3,2023
UDGIR,Others,2023-03-22T10:53:09.68,Others,LATUR,4745924,"हवामान विभागाच्या अंदाजानुसार आपल्या नेवासा तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - २९ अंश सेल्सियस आणि किमान -२१  अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  10  किलोमीटर आहे.धन्यवाद शुभ दिवस +
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
MANGRULPIR,Others,2023-03-22T10:58:06.483,Others,WASHIM,4743397,"हवामान विभागाच्या अंदाजानुसार मंगरुळपीर तालुक्यात,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता  नाही.आजचे तापमान  कमाल -34 अंश सेल्सियस आणि किमान -20  अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 10  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
BAGLAN,Others,2023-03-22T11:15:59.983,Others,NASIK,4745648,"हवामान विभागाच्या अंदाजानुसार आपल्या बागलाण तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.पावसाची शक्यता नाही  .आजचे तापमान -कमाल - ३२  अंश सेल्सियस आणि किमान -१७ अंश सेल्सियस  ,वाऱ्याचा वेग -तासी १५   किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .	
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
KARANJA,Others,2023-03-22T11:28:54.357,Others,WASHIM,4745900,"कारंजा  तालुक्याचा हवामान अंदाज :- येत्या आठवड्यात वातावरण ढगाळ राहील व पावसाची शक्यता आहे. तापमान = किमान 21 °c , कमाल 31 °c . वाऱ्याचा वेग 7 कि.मी./ तास धन्यवाद ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
UMARKHED,Others,2023-03-22T11:30:34.787,Others,YEVATMAL,4745856,"उमरखेड तालुका हवामान अंदाज - येत्या ५ दिवसात वातावरण अंशतः ढगाळ राहील,२४ - २६ मार्च रोजी हलक्या पावसाची शक्यता आहे.
कमाल तापमान - ३४℃ , किमान तापमान - २१ ℃.
वाऱ्याचा वेग- १० किमी / तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
HATKANGALE,Others,2023-03-22T11:43:55.62,Others,KOLHAPUR,4745858,"--माती परीक्षण नमुना गोळा करणे विषयी अधिक माहितीसाठी आपले कृषी सहाय्यक किंवा तालुका कृषी अधिकारी यांच्याशी संपर्क करा . ","ASKED ABOUT SOIL TESTING PROCESS INFORMATION ?","Soil Testing",NA,AGRICULTURE,MAHARASHTRA,22,3,2023
"NANDGAON KH",Others,2023-03-22T11:50:51.49,Others,AMRAVATI,4745781,"हवामान विभागाच्या अंदाजानुसार आपल्या नांदगाव -ख तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.हलक्या स्वरूपाची पावसाची शक्यता आहे .आजचे तापमान -कमाल - ३२  अंश सेल्सियस आणि किमान -१७ अंश सेल्सियस  ,वाऱ्याचा वेग -तासी १५   किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .	
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,22,3,2023
SHEVGAON,Cereals,2023-03-22T12:01:03.927,Wheat,AHMADNAGAR,4745701,"गहू पिकातील खोडकीड नियंत्रण - क्लोरोपायरीफॉस २०% इसी - ३० मिली प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद!
","FARMER ASKED ABOUT ATTACK OF STEM BORER IN WHEAT CROP? 
","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,22,3,2023
KHULTABAD,Others,2023-03-21T14:03:39.697,Others,AURANGABAD,4736443,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 30 अंश सेल्सियस आणि किमान -16   अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  11   किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,21,3,2023
VAIJAPUR,Others,2023-03-21T14:13:05.94,Others,AURANGABAD,4736628,"वैजापुर हवामान अंदाज - वातावरण  ढगाळ राहील,पावसाची शक्‍यता राहील . कमाल तापमान  31    अंश सेल्सिअस, किमान तापमान 16   अंश सेल्सिअस . वाऱ्याचा वेग 12  किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,21,3,2023
