BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
ACHALPUR,Others,2023-04-04T13:16:51.04,Others,AMRAVATI,4899342,"हवामान विभागाच्या अंदाजानुसार, आपल्या अमरावती जिल्हा अचलपूर तालुक्यात येत्या आठवड्यात वातावरण अंशतः ढगाळ राहील, पावसाची शक्यता नाही. आजचे तापमान कमाल 36 अंश सेल्सियस आणि किमान 21 अंश सेल्सियस,वाऱ्याचा वेग - 7 किलोमीटर/ तास राहील. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,4,4,2023
MANGALVEDHE,"Sugar and Starch Crops",2023-04-04T13:19:41.843,"Sugarcane (Noble Cane)",SOLAPUR,4899318,"चाबूक काणी  - या बुरशीजन्य रोगाच्या नियंत्रणासाठी कार्बेन्डाझिम अथवा मॅन्कोझेब अथवा कॉपर ऑक्‍सिक्‍लोराईड यापैकी कोणतेही बुरशीनाशक तीन ग्रॅम प्रतिलिटर पाणी या प्रमाणात फवारणी घ्यावी. पुढील फवारण्या १५ दिवसांच्या अंतराने कराव्यात.","FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK IN SUGARCANE CROP ? ","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
RAHURI,Millets,2023-04-04T13:33:21.63,"Maize (Makka)",AHMADNAGAR,4899341,"आपण मका पिकासाठी नॅनो युरिया फवारणी करावी ","FARMER ASKED ABOUT FERTILIZER DOSE ON MAIZE CROP?","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
GHANSAWANGI,Others,2023-04-04T13:35:20.99,Others,JALNA,4899321,"01/04/2023
Mandi  : Selu
Commodity : Cotton
(Modal Price): 8060/Quintal","Farmer asked price detail of Cotton in Selu mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
PARNER,Others,2023-04-04T08:27:18.183,Others,AHMADNAGAR,4894432,"अहमदनगर जिल्हा पारनेर तालुका हवामान अंदाज - वातावरण अंशतः ढगाळ राहील, तुरळक / काही ठिकाणी  पाऊस पडण्याची शक्यता राहील. कमाल तापमान  33 अंश सेल्सिअस, किमान तापमान  २२ अंश सेल्सिअस . वाऱ्याचा वेग 11 किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,4,4,2023
KANAND,"Fiber Crops",2023-04-04T08:57:04.307,"Cotton (Kapas)",AURANGABAD,4894992,"कापूस पिकाचे बाजारभाव - किनवट मार्केट - कमीत कमी - 7500 रु/क्विंटल जास्तीत जास्त - 7900  रु/क्विंटल , सरासरी भाव - 7600 रु/क्विंटल . धन्यवाद 
","FARMER ASKED ABOUT MARKET RATE OF COTTON  CROP IN KINWAT MARKET?
","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
PUSAD,"Fiber Crops",2023-04-04T09:21:02.39,"Cotton (Kapas)",YEVATMAL,4895000,"03/04/2023
कापुस बाजार भाव राळेगाव तालुका - 
जास्तीत जास्त 8035 रुपये क्विंटल , 
 कमीत कमी 7500 रुपये क्विंटल ,
सरासरी 7900 रुपये क्विंटल","Farmer asked price detail of Cotton in Ralegaon mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
RADHANAGARI,Others,2023-04-04T16:45:19.213,Others,KOLHAPUR,4902309,"Farmer mobile no. not be registered in the pm Kisan portal It is advised to farmer go and visit the agriculture department related to pm Kisan registration no.
","Farmer asked a query regarding pm kisan beneficiary status?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
KOPARGAON,"Sugar and Starch Crops",2023-04-04T16:47:53.593,"Sugarcane (Noble Cane)",AHMADNAGAR,4902313,"ऊस पिकामध्ये चांगल्या फुटव्यांसाठी 12:61:00 60 ग्राम आणि मायक्रोला 30 मिली / प्रति 15 लिटर पाण्यामध्ये घेऊन फवारणी करावी धन्यवाद !","FARMER ASKED ABOUT FERTLIZER DOSE FOR SUGARCANE ?","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
OMERGA,Others,2023-04-04T16:59:35.66,Others,OSMANABAD,4902280,"हवामान विभागाच्या अंदाजानुसार आपल्या उमरगा तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.हलक्या स्वरूपाची पावसाची शक्यता  आहे .आजचे तापमान -कमाल - ३८   अंश सेल्सियस आणि किमान -२२   अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  १५  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,4,4,2023
GANGAPUR,Others,2023-04-04T17:00:19.607,Others,AURANGABAD,4902277,"हवामान खात्यानुसार आपल्या गंगापूर तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या पावसाची शक्यता आहे.
कमाल तापमान - 36 ℃ ,किमान तापमान - 22 ℃ .
वाऱ्याचा वेग - 16 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,4,4,2023
MALEGAON,Others,2023-04-04T17:06:47.863,Others,WASHIM,4902272,"मालेगाव तालुक्याचा हवामान अंदाज :-  येत्या आठवड्यात वातावरण ढगाळ राहील व  पावसाची शक्यता आहे. तापमान = किमान २४ °c , कमाल ३४  °c . आर्द्रता = किमान ५१   % , कमाल ७९   % .   वाऱ्याचा वेग  ११   कि.मी./ तास धन्यवाद.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,4,4,2023
MALEGAON,Pulses,2023-04-04T17:08:22.883,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",WASHIM,4902273,"०४/०४/२०२३
मंडी : हिंगोली (कानेगाव नाका)
कमोडिटी : बंगाल ग्राम(ग्रॅम)(संपूर्ण)
(मोडल किंमत): 4750/क्विंटल","Farmer asked price detail of Bengal Gram(Gram)(Whole) in Hingoli(Kanegoan Naka) mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
VASAI,"Plantation Crops",2023-04-04T17:09:34.55,Coconut,PALGHAR,4902286,"नारळ पिकाला मीठ टाकण्याची शिफारस आपण देत नाहीत धन्यवाद !","FARMER ASKED ABOUT WHEN APPLY SALT TO COCONUT PLANT ?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,4,4,2023
KALAMNURI,Others,2023-04-04T17:31:25.447,Others,HINGOLI,4902319,"०३/०४/२०२३
मंडी : हिंगोली
जिन्नस : हळद
(मोडल किंमत): 6450/क्विंटल","Farmer asked price detail of Turmeric in Hingoli mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
PUSAD,Others,2023-04-04T17:36:43.703,Others,YEVATMAL,4902276,"04/04/2023
कापूस बाजारभाव - काटोल मार्केट - कमीत कमी - ७५०० रु/क्विंटल, जास्तीत जास्त - ७९०० रु/क्विंटल, सरासरी भाव - ७७५० रु/क्विंटल. धन्यवाद !","Farmer asked price detail of Cotton in Katol mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
AUSA,Oilseeds,2023-04-04T17:39:33.683,"Soybean (bhat)",LATUR,4902283,"03/04/2023
Mandi  : Latur
Commodity : Soyabean
(Modal Price): 5250/Quintal","Farmer asked price detail of Soyabean in Latur mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,4,4,2023
MAHUR,Oilseeds,2023-04-03T14:40:44.997,"Sesame (Gingelly/Til)/Sesamum",NANDED,4889196,"उन्हाळी तीळ -12:61:00-- 60 ग्रॅम  + सुक्ष्म अन्नद्रव्ये 30 मिली /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी
","Fertilizer spray for sesame ?","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,3,4,2023
KANAND,Others,2023-04-03T14:51:54.867,Others,AURANGABAD,4889187,"03/04/2023    
आले पिकाचे बाजारभाव - पुणे मार्केट - कमीत कमी - 3800	रु/क्विंटल जास्तीत जास्त - 6700	 रु/क्विंटल , सरासरी भाव - 5250 रु/क्विंटल . धन्यवाद 
","Farmer asked price detail of Ginger(Green) in Pune mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,3,4,2023
DHARANGAON,Oilseeds,2023-04-03T15:03:26.077,"Groundnut (pea nut/mung phalli)",JALGAON,4889869,"पिकाच्या या अवस्थेमध्ये रासायनिक तणनाशकाची शिफारस केलेली नाही म्हणून सध्या खुरपणी करावी .
","Farmer Asked about weed management in groundnut ?
","Weed Management",NA,AGRICULTURE,MAHARASHTRA,3,4,2023
AKKALKOT,Pulses,2023-04-03T15:09:46.533,"Black Gram (urd bean)",SOLAPUR,4889878,"१/४/२०२३ - उडीद पिकाचे बाजारभाव -बार्शी मार्केट =कमीत कमी - ५००० रु/क्विंटल, जास्तीत जास्त - ५००० रु/क्विंटल, सरासरी - ५००० रु/क्विंटल. धन्यवाद!
","Farmer asked price detail of Black Gram (Urd Beans)(Whole) in Barshi mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,3,4,2023
NILANGA,Others,2023-04-03T15:18:24.38,Others,LATUR,4889867,"निलंगा, तालुक्यातील  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे , सौम्य हलक्या पावसाची शक्यता आहे. 
पर्जन्य: 35 % ; आर्द्रता: 19 % ; वारा: 14 किमी/ता","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,3,4,2023
