BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MANWAT,Others,2023-07-26T10:23:38.453,Others,PARBHANI,6070117,"हवामान विभागाच्या अंदाजानुसार आपल्या मानवत  तालुक्यात या आठवड्यामध्ये वातावरण ढगाळ राहील आणि हलक्या ते मध्यम पावसाची शक्यता आहे. सरासरी तापमान - किमान - २२ अंश सेल्सियस, आणि कमाल - ३० अंश सेल्सियस, वाऱ्याचा वेग - ताशी १७ किलोमीटर आहे. (हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे). धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,26,7,2023
SHIROL,"Sugar and Starch Crops",2023-07-26T10:27:44.933,"Sugarcane (Noble Cane)",KOLHAPUR,6069818,"एक वर्ष जुने कोंबडी खत तुम्ही सात महिने वयाच्या ऊस पिकाला देऊ शकता 
सरासरी वीस ते पंचवीस दिवसांमध्ये ते पिकाला लागू व्हायला सुरुवात होते ","Farmer asked about use of poultry manure in sugarcane crop?","Bio-Pesticides and Bio-Fertilizers",NA,AGRICULTURE,MAHARASHTRA,26,7,2023
PARTUR,Oilseeds,2023-07-25T10:25:09.257,"Soybean (bhat)",JALNA,6054816,"सोयाबीन - तण नाशक - पीक उगवणीनंतर 21 दिवसांनी परस्युट (इमॅझीथापर 10% एस.एल.) 20 मि.लि./10 लिटर पाण्यात मिसळून तणांवर फवारावे. 
","WEED MANAGEMENT IN SOYABEAN ?
","Weed Management",NA,AGRICULTURE,MAHARASHTRA,25,7,2023
VAIJAPUR,Oilseeds,2023-07-25T10:36:30.14,"Soybean (bhat)",AURANGABAD,6054826,"सोयाबीन - तण नाशक - पीक उगवणीनंतर 21 दिवसांनी परस्युट (इमॅझीथापर 10% एस.एल.) 20 मि.लि./10 लिटर पाण्यात मिसळून तणांवर फवारावे. 
","WEED MANAGEMENT IN SOYABEAN ?
","Weed Management",NA,AGRICULTURE,MAHARASHTRA,25,7,2023
KOPARGAON,Others,2023-07-25T10:54:14.713,Others,AHMADNAGAR,6054824,"हवामान विभागाच्या अंदाजानुसार ,आपल्या कोपरगाव तालुक्यात पुढील ५ दिवसांत  वातावरण ढगाळ राहील . हलक्या ते मध्यम स्वरूपाच्या पावसाची शक्यता आहे .आजचे तापमान - कमाल - २८ अंश सेल्सियस आणि किमान - २१ अंश सेल्सियस  ,वाऱ्याचा वेग - तासी २९ किलोमीटर आहे. हवामान विभागाच्या अंदाजानुसार पेरणी ,पिकास पाणी ,खत व्यवस्थापन , तण व्यवस्थापन याचे योग्य नियोजन करावे धन्यवाद 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,7,2023
CHIKHLI,Others,2023-07-25T11:08:01.417,Others,BULDANA,6055452,"हवामान विभागाच्या अंदाजानुसार आपल्या चिखली  तालुक्यात, येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या पावसाची शक्यता आहे. आजचे कमाल तापमान- ३२ अंश सेल्सियस आणि किमान तापमान  २४ अंश सेल्सियस राहील. वाऱ्याचा वेग -१३ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,7,2023
GEORAI,Others,2023-07-25T11:12:30.453,Others,BEED,6055088,"किसान कॉल सेण्टर में कॉल करनेके लिए धन्यवाद.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,7,2023
VAIJAPUR,"Fiber Crops",2023-07-25T11:17:31.97,"Cotton (Kapas)",AURANGABAD,6054840,"कापूस पिकांमधील रस शोषक कीड नियंत्रण यासाठी - निंबोळी अर्क २ मिली / १ लिटर पाण्यामध्ये घेऊन फवारणी करावी . ","FARMER ASKED ABOUT CONTROL OF SUCKING PEST ATTACK IN COTTON CROP ? ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,25,7,2023
WARORA,Others,2023-07-25T11:18:54.62,Others,CHANDRAPUR,6055158,"वरोरा     तालुका हवामान अंदाज येत्या आठवड्यात वातावरण पूर्णतः ढगाळ असून पाऊस हलक्या ते मध्यम स्वरूपात पडेल , तापमान कमाल ३०    अंश सेल्सिअस किमान २२ अंश सेल्सिअस तसेच वाऱ्याचा वेग ताशी १३  किलोमीटर राहील . शेतीचे कामे काळजीपूर्वक करावीत धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,7,2023
MOTALA,Others,2023-07-25T11:23:03.47,"Cotton (Kapas)",BULDANA,6054850,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 32 अंश सेल्सियस आणि किमान -24 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  19  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,7,2023
