BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
KANAND,Others,2023-10-13T08:42:23.48,Others,AURANGABAD,7050471,"हवामान विभागाच्या अंदाजानुसार ,आपल्या   तालुक्यात येत्या आठवड्यात ढगाळ वातावरण राहील.आज पावसाची शक्यता नाही .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
BADNAPUR,Others,2023-10-13T09:06:29.12,Others,JALNA,7051049,"हवामान विभागाच्या अंदाजानुसार आपल्या  बदनपुर तालुक्यात - या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील. पावसाची शक्यता नाही .आजचे तापमान -कमाल - 33 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  7  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
NANDURBAR,Vegetables,2023-10-13T09:16:27.597,Chillies,NANDURBAR,7051041,"मिरची पिकामध्ये क्लोरोपायरीफॉस 30 मिली+ह्युमिक ऍसिड 30 मिली +बाविस्टीन ३० ग्राम 15लिटर पाण्यात घेवून आळवणी करावी.
","ASKED ABOUT WILT IN CHILLY?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,13,10,2023
NIPHAD,Fruits,2023-10-13T09:31:38.83,Grape,NASIK,7051078,"द्राक्षे पिकाविषयी विषयी अधिक माहिती साठी संपर्क साधा,राष्ट्रीय द्राक्ष संशोधन केंद्र, पुणे. संपर्क क्रमांक :-०२० २६९५६००० /०१ . 
","Farmer asked about Grape crop information?
","Government Schemes",NA,HORTICULTURE,MAHARASHTRA,13,10,2023
DHULE,Others,2023-10-13T09:34:58.87,Others,DHULE,7051068,"आपल्या तालुक्यातील पुढील पाच दिवसांचा हवामानाचा अंदाज उपलब्ध झाला आहे पुढील पाचही दिवस पावसाची शक्यता नाही तापमान कमीत कमी 22 अंश सेल्सिअस जास्तीत जास्त 34 अंश सेल्सिअस हवेतील अर्धता 50 टक्के वाऱ्याचा वेग 12 किलोमीटर धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
SILLOD,Others,2023-10-13T09:39:12.883,Others,AURANGABAD,7051058,"सिल्लोड हवामान अंदाज - वातावरण अंशतः ढगाळ राहील पावसाची शक्यता नाही . कमाल तापमान 34 अंश सेल्सिअस, किमान तापमान 22 अंश सेल्सिअस . वाऱ्याचा वेग 08  किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
"ANJANGAON S",Others,2023-10-13T09:42:35.887,Others,AMRAVATI,7051040,"तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण स्वच्छ राहील, पावसाची शक्यता नाही , तापमान - किमान - 23 ℃ आणि कमाल- 34 ℃ , वाऱ्याचा वेग ताशी - 11 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, आदी बाबींचे नियोजन करावे. 

","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
NANDURA,Others,2023-10-13T09:49:44,Others,BULDANA,7051076,"नांदुरा तालुका हवामान अंदाज येत्या आठवड्यामध्ये वातावरण ढगाळ आहे आणि पावसाची शक्यता नाही , आजचे तापमान जास्तीत जास्त - ३२ अंश सेल्सिअस , कमीत कमी - २४ अंश सेल्सिअस , वाऱ्याचा वेग ११ किलोमीटर प्रति तास आहे . 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
MAN,Others,2023-10-13T10:07:18.153,Others,SATARA,7051813,"MPKV राहुरी, बियाणे विभाग संपर्क क्रमांक 02426-243345,243279,243051. धन्यवाद.","Farmer asked about contact number of MPKV Rahuri?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,13,10,2023
PAITHAN,Others,2023-10-13T10:09:51.657,Others,AURANGABAD,7051855,"उडीद पिकाचे बाजारभाव - जालना मार्केट - कमीत कमी - ४२०० रु/क्विंटल जास्तीत जास्त - ९००० रु/क्विंटल , सरासरी भाव - ८२०० रु/क्विंटल . धन्यवाद !
","Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,MAHARASHTRA,13,10,2023
MANGRULPIR,Others,2023-10-13T10:12:58.2,Others,WASHIM,7051854,"हवामान विभागाच्या अंदाजानुसार आपल्या  मंगरूळपीर तालुक्यात - या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील. पावसाची शक्यता नाही .आजचे तापमान -कमाल - 35 अंश सेल्सियस आणि किमान - 21 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  5  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
AMBAJOGAI,Others,2023-10-13T11:46:14.2,Others,BEED,7053358,"तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची शक्यता नाही , तापमान - किमान - 22 ℃ आणि कमाल- 31 ℃ , वाऱ्याचा वेग ताशी - 11 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
DEOLA,Others,2023-10-13T12:17:46.613,Others,NASIK,7053877,"देवळा तालुका हवामान अंदाज येत्या आठवड्यामध्ये वातावरण ढगाळ आहे आणि पावसाची शक्यता नाही , आजचे तापमान जास्तीत जास्त - ३२ अंश सेल्सिअस , कमीत कमी - २४ अंश सेल्सिअस , वाऱ्याचा वेग ११ किलोमीटर प्रति तास आहे . 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
MANGRULPIR,Others,2023-10-13T12:18:28.877,Others,WASHIM,7054136,"हवामान विभागाच्या अंदाजानुसार ,आपल्या   तालुक्यात येत्या आठवड्यात ढगाळ वातावरण राहील आज  पावसाची शक्यता नाही .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,13,10,2023
PUSAD,Others,2023-10-15T14:39:38.68,Others,YEVATMAL,7078128,"हवामान विभागाच्या अंदाजानुसार आपल्या पुसद  तालुक्यात,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, मध्यम ते हलक्या पावसाची शक्यता आहे.आजचे तापमान -कमाल -35   अंश सेल्सियस आणि किमान -22 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 15 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
LATUR,Others,2023-10-15T14:40:04.543,Others,LATUR,7078148,"लातूर तालुक्याचा हवामान अंदाज :-  येत्या आठवड्यात वातावरण ढगाळ राहील व  पावसाची शक्यता आहे . तापमान = किमान २४ °c , कमाल ३५ °c . आर्द्रता = किमान ४६   % , कमाल ७८  % . वाऱ्याचा वेग १२ कि.मी./ तास धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
SAONER,Others,2023-10-15T14:44:20.77,Others,NAGPUR,7078147,"हवामान विभागाच्या अंदाजानुसार, आपल्या सावनेर  तालुक्यात येत्या आठवड्यात वातावरण अंशतः ढगाळ राहील, पावसाची शक्यता नाही. आजचे तापमान कमाल ३४ अंश सेल्सियस आणि किमान २१ अंश सेल्सियस,वाऱ्याचा वेग -७ किलोमीटर/ तास राहील. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
AKOLA,Others,2023-10-15T08:20:11.127,Others,AKOLA,7072710,"हवामान विभागाच्या अंदाजानुसार आपल्या अकोला तालुक्यात ,या आठवड्यामध्ये पावसाची शक्यता नाही .आजचे तापमान -कमाल - 35 अंश सेल्सियस आणि किमान -२१ अंश सेल्सियस, आर्द्रता कमाल-७३ %   किमान - ४७  %  ,वाऱ्याचा वेग -तासी ४ किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे . धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
KARANJA,Others,2023-10-15T08:26:37.21,Others,WASHIM,7072700,"हवामान विभागाच्या अंदाजानुसार आपल्या कारंजा तालुक्यात, येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या पावसाची शक्यता आहे. आजचे कमाल तापमान- ३० अंश सेल्सियस आणि किमान तापमान  २० अंश सेल्सियस राहील. वाऱ्याचा वेग -१५ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
SINNAR,Others,2023-10-15T08:30:25.543,Others,NASIK,7072693,"हवामान खात्यानुसार आपल्या  सिन्नर  तालुक्यात ह्या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता नाही.कमाल तापमान - ३३ ℃ ,किमान तापमान - २२ ℃ .
वाऱ्याचा वेग - १४      किमी प्रति तास.हवामानाच्या अंदाजानुसार पिकाला पाणी आणि खताची मात्रा द्यावी
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,10,2023
AUSA,Others,2023-10-12T18:00:22.52,Others,LATUR,7048170,"हवामान विभागाच्या अंदाजानुसार आपल्या औसा तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.पावसाची शक्यता नाही .आजचे तापमान -कमाल - ३३ अंश सेल्सियस आणि किमान - २१ अंश सेल्सियस  ,वाऱ्याचा वेग -तासी १० किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,12,10,2023
MANGRULPIR,Others,2023-10-12T18:31:56.34,Others,WASHIM,7048934,"तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण स्वच्छ राहील, पावसाची शक्यता नाही , तापमान - किमान - 23 ℃ आणि कमाल- 34 ℃ , वाऱ्याचा वेग ताशी - 11 किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,12,10,2023
