BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
WASHI,Others,2024-10-01T10:22:59.523,Others,OSMANABAD,2627267,"महोदय,हवामान विभागाच्या अंदाजानुसार धाराशिव जिल्हा वाशी तालुक्यात  पुढील पाच दिवस 01 ऑक्टोबर ते 05 ऑक्टोबर 2024 वातावरण  ढगाळ राहील ,मध्यम ते  चांगला पावसाची शक्यता आहे.  तापमान कमाल 33 अंश सेल्सिअस आणि किमान   24 अंश सेल्सिअस आणि वाऱ्याचा वेग ताशी 10  आहे . 
हवामान विभागाच्या अंदाजानुसार सोयाबीन पिकाची काढणी करावी धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,10,2024
TULJAPUR,Vegetables,2024-10-01T11:50:08.93,Onion,OSMANABAD,2627926,"कराटे २० मिली /१५ लिटर पाण्यातून फवारणी करा. लाम्बडा सायलोथ्रीन - सिंजेन्टा 
+ रोको १५ ग्रॅम /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी (थियोफिनेट मिथाईल ७० % WDG)  बायोस्टॅड   
यामध्ये स्टिकर घेऊन आपण आपल्या कांदा पिकावरती याचे फवारणी करावी या दोन औषधाने आपल्या पिकांमधील बुरशीचा प्रादुर्भाव तसेच किडीचा प्रादुर्भाव नियंत्रण होण्यास मदत होऊन जाईल धन्यवाद","farmer asked which spray taken on 1 month old onion plantation?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,1,10,2024
PARANDA,Vegetables,2024-10-01T12:21:48.75,Onion,OSMANABAD,2627876,"कांदा पिकातील करपा रोग नियंत्रणासाठी ब्लू कॉपर (कॉपर ऑक्सिक्लोराइड ५०% WP) ३० ग्रॅम /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. 
","Farmer asking about how to control Blight in onion crop?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,1,10,2024
OMERGA,Others,2024-10-01T12:49:51.017,Others,OSMANABAD,2627504,"ओमरगा, उस्मानाबाद, महाराष्ट्र येथे सध्याचे हवामान हलक्या पावसाच्या सरी, पर्जन्यवृष्टीची 66% शक्यता, 79% आर्द्रता आणि वाऱ्याचा वेग 3 किमी/तास 26°C आहे.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,10,2024
BHOOM,Others,2024-10-01T15:04:35.597,Others,OSMANABAD,2627101,"नमस्कार सर हवामान अंदाज़ अनुसार धाराशिव जिल्हा भूम तालुक्यात पुढील पाच दिवसात  वातावरण  ढगाळ राहील,आणि हलक्या स्वरूपाचा पावसाची शक्यता आहे.सरासरी तापमान  कमाल 33 अंश सेल्सियस आणि किमान 23  अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 10 किलोमीटर आहे.हवामान नुसार आपण आपल्या सोयाबीन पिकाची काढणी नियोजन करावे  धन्यवाद ! 

","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,10,2024
OSMANABAD,Vegetables,2024-10-01T16:27:23.137,Onion,OSMANABAD,2627216,"क्लोरोपायरीफोस 30 मिलि साफ ३० ग्रॅम / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी ( कार्बेन्डाझिम १२ % + मॅन्कोझेब ६३ % ) युपीएल 
","FARMER ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ON ONION ?
","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,1,10,2024
BHOOM,Oilseeds,2024-10-01T17:03:51.643,"Soybean (bhat)",OSMANABAD,2627959,"हवामान खात्याच्या अंदाजानुसार, तुमच्या उस्मानाबाद जिल्हा भूम तालुक्यात येत्या आठवड्यात वातावरण ढगाळ राहील ,हलक्या ते मध्यम पाऊस पडण्याची शक्यता आहे, किमान तापमान 22 अंश सेल्सिअस आणि कमाल तापमान - 32 अंश सेल्सिअस राहण्याची शक्यता आहे आणि वाऱ्याचा वेग ताशी - 15  किलोमीटर राहण्याची शक्यता आहे. हवामानाच्या अंदाजानुसार आपल्या सोयाबीन पिकाच्या काढण्याचे नियोजन करावे, धन्यवाद
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,10,2024
LOHARA,Pulses,2024-10-01T18:00:00.02,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",OSMANABAD,2627095,"हरभरा-
सुधारित वाण-
विशाल
-या वाणाचा कालावधी 110 ते 115 दिवस इतका आहे. आकर्षक पिवळे टपोरे दाणे ,अधिक उत्पादन क्षमता ,मर रोगप्रतिकारक.

विराट-
या वाणाचा कालावधी 110 ते 115 दिवस इतका आहे काबुली वाण , अधिक टपोरे दाणे , मर रोग प्रतिकारक ,   
साकी-९५१६-
मध्यम आकाराचे दाणे , मर रोग प्रतिकारक ..
धन्यवाद...
","FARMER ASKED ABOUT VARIETIES OF BENGAL GRAM?",Varieties,NA,AGRICULTURE,MAHARASHTRA,1,10,2024
TULJAPUR,Others,2024-10-01T21:40:32.197,Others,OSMANABAD,2633643,"नमस्कार सर आपण आपल्या शेतामध्ये ड्रीपचे नियोजन करत आहात तर कृपया आपल्या जवळच्या ड्रीप होलसेलर यांच्याशी संपर्क साधा ते तुम्हाला ट्रीप बदल तुमच्या शेतासाठी असणाऱ्या सगळ्या गोष्टीची योग्य मार्गदर्शन करतील धन्यवाद","farmer asked about drip related information ?","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,10,2024
PARANDA,Oilseeds,2024-10-02T11:45:14.503,"Soybean (bhat)",OSMANABAD,2637346,"हवामान विभागाच्या अंदाजानुसार 2 ऑक्टोबर 2024 ते 6 ऑक्टोबर 2024 या कालावधीत परांडा तालुक्यात वातावरण अंशतः ढगाळ राहील पावसाची शक्यता तुरळक आहे  तापमान -कमाल 33 अंश सेल्सियस आणि किमान -23 अंश सेल्सियस,वाऱ्याचा वेग -तासी 10 किलोमीटर आहे.  हवामान अंदाजानुसार सोयाबीन पिकाची काढणी करू शकता 
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,2,10,2024
WASHI,Oilseeds,2024-10-02T11:53:57.533,"Soybean (bhat)",OSMANABAD,2637206,"महोदय, हवामान विभागाच्या अंदाजानुसार आपल्या उस्मानाबाद   जिल्हा वाशी   तालुक्यात,येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या  स्वरूपाच्या पावसाची शक्यता आहे.कमाल तापमान ३३  अंश सेल्सियस आणि किमान तापमान २४    अंश सेल्सियस राहण्याची शक्यता आहे. वाऱ्याचा वेग १०   किलोमीटर प्रति तास राहण्याची शक्यता आहे, हवामान अंदाजानुसार सोयाबीन पिकाची कापणी करावी धन्यवाद","Farmer asked query on Weather","Post Harvest Preservation",NA,AGRICULTURE,MAHARASHTRA,2,10,2024
OMERGA,Oilseeds,2024-10-02T13:06:50.977,"Soybean (bhat)",OSMANABAD,2637411,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार आपल्या उस्मानाबाद जिल्हा उमरगा तालुका या आठवड्यामध्ये वातावरण ढगाळ राहील व हलक्या ते माध्यम स्वरूपाच्या पावसाची श्यक्यता आहे , आजचे तापमान कमाल ३२ अंश सेल्सियस आणि किमान २४ अंश सेल्सियस, वाऱ्याचा वेग - १५ किलोमीटर/ तास आहे. हवामान अंदाजानुसार आपण सोयाबीन पिकाचे काढण्याचे नियोजन करावे , धन्यवाद","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,2,10,2024
PARANDA,Others,2024-10-02T13:30:01.857,Others,OSMANABAD,2637640,"प्रधानमंत्री किसान सन्मान निधी योजनेबद्दल काही तक्रार असल्यास  आपण आपल्या तहसील कार्यालयामध्ये पी एम किसान नोडल ऑफिसर शी संपर्क साधावा, धन्यवाद
","farmer ask about Pradhanmantri Kisan Samman Nidhi Yojana information ?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,10,2024
OSMANABAD,Others,2024-10-02T18:34:42.493,Others,OSMANABAD,2637619," नमस्कार सर प्रधानमंत्री किसान सन्मान निधी योजनेच्या  अधिक माहितीसाठी तहसील कार्यालयातील  नोडल अधिकारी यांना भेट द्या किंवा अधिक माहितीसाठी हेल्पलाइन क्रमांक ०११-२४३००६०६, १५५२६१ येथे संपर्क करावा  धन्यवाद...
"," FARMER ASKED ABOUT NEW REGESTRATION IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA  RELATED INFORMATION   ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,10,2024
OSMANABAD,Others,2024-10-03T11:17:37.12,Others,OSMANABAD,2647266,"--आपले पीएम किसान सन्मान निधी अकाउंट चे एप्लीकेशन रिजेक्ट झाले असेल तर एकदा चेक करावे की आपला सातबारा वरती कोणी दुसरे लाभार्थी आहे की नाही एका सातबारा वरती दोन लाभार्थ्यांची नावे असतील तर एकालाच कोणालातरी लाभ मिळू शकेल धन्यवाद","FARMER ASKED ABOUT PRADHANMANTRI KISAN SANMAN NIDHI YOJANA? 
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,3,10,2024
OMERGA,Oilseeds,2024-10-03T15:48:55.313,"Soybean (bhat)",OSMANABAD,2647391,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार धाराशिव जिल्हा उमरगा तालुक्यात,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,हलक्या  पावसाची शक्यता आहे  . आजचे तापमान  कमाल -33 अंश सेल्सियस आणि किमान -25 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7  किलोमीटर आहे.हवामान अंदाजानुसारसोयाबीन पिकाची काढणी नियोजन करावे  धन्यवाद.","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,3,10,2024
