BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SHIRALA,Oilseeds,2024-09-23T14:59:57.19,"Soybean (bhat)",SANGLI,2538501,"हवामान विभागाच्या अंदाजानुसार सांगली जिल्हा शिराळा तालुक्यात, या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, हलक्या -मध्यम स्वरूपाचे पावसाची शक्यता  आहे. आजचे तापमान  कमाल - 29 अंश सेल्सियस आणि किमान - 24 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7 किलोमीटर आहे. हवामान विभागाच्या अंदाजानुसार सोयाबीन पिकातील काढणी नियोजन करावे, धन्यवाद ","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,23,9,2024
VALVA-ISLAMPUR,"Sugar and Starch Crops",2024-09-23T16:46:13.713,"Sugarcane (Noble Cane)",SANGLI,2539675,"ऊस -तण नाशक - २ , ४ -डी (अमाईन सॉल्ट ५८ %) ४० मिली + सेन्कोर (मेट्रीब्युझीन ७० % WP) ३० ग्रॅम /१५ लिटर पाण्यातून फवारावे 
","FARMER ASKED ABOUT WEED MANAGEMENT IN SUGARCANE?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,23,9,2024
ATPADI,Fruits,2024-09-24T10:17:43.613,Pomegranate,SANGLI,2546216,"डाळिंब या पिकामध्ये इथरेल सोबत दुसरे कुठलेही औषध मिक्स करू नये .धन्यवाद शुभ दिवस","farmer asked about ethrel spraying?","Nutrient Management",NA,HORTICULTURE,MAHARASHTRA,24,9,2024
JATH,Fruits,2024-09-24T17:17:14.217,Pomegranate,SANGLI,2550364,"डाळिंब पिकावरील मर रोग नियंत्रण - कब्रिओटॉप - ३० ग्रॅम/१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी (पायराक्लॉस्ट्रोबीन ५०% + मेटीराम ५५%). ","FARMER ASKED ABOUT ATTACK OF WILT ON POMEGRANATE?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,24,9,2024
TASGAON,Others,2024-09-25T12:33:55.96,Others,SANGLI,2561191,"महाराष्ट्रातील सांगली येथे ढगाळ वातावरणासह सध्याचे हवामान 27 अंश सेल्सिअस आहे. पावसाची शक्यता 24 टक्के, आर्द्रता 79 टक्के आणि वाऱ्याचा वेग ताशी 12 किमी आहे.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,9,2024
KHANAPUR-VITA,Others,2024-09-25T13:18:31.203,Others,SANGLI,2561210,"मोकळ्या शेतात तण नियंत्रणासाठी -ग्लायफोसेट अमोनियम सॉल्ट  71% एसजी- १०० ग्रॅम + युरिया १०० ग्रॅम / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी (मीरा ७१ )","Asked about weed management ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,9,2024
JATH,Others,2024-09-25T14:00:22.197,Others,SANGLI,2561195,"महाराष्ट्रातील सांगली येथे ढगाळ वातावरणासह सध्याचे हवामान 26 अंश सेल्सिअस आहे. पावसाची शक्यता 20 टक्के, आर्द्रता 78 टक्के आणि वाऱ्याचा वेग ताशी 19 किमी आहे.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,9,2024
KADEGAON,Others,2024-09-25T15:57:16.003,Others,SANGLI,2561613," नमस्कार सर प्रधानमंत्री किसान सन्मान निधी योजनेच्या  अधिक माहितीसाठी तहसील कार्यालयातील  नोडल अधिकारी यांना भेट द्या किंवा अधिक माहितीसाठी हेल्पलाइन क्रमांक ०११-२४३००६०६, १५५२६१ येथे संपर्क करावा  धन्यवाद...
","FARMER ASKED ABOUT STATUS OF INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA AND HELPLINE NUMBER ?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,9,2024
KADEGAON,Others,2024-09-25T15:57:19.597,Others,SANGLI,2561614," नमस्कार सर प्रधानमंत्री किसान सन्मान निधी योजनेच्या  अधिक माहितीसाठी तहसील कार्यालयातील  नोडल अधिकारी यांना भेट द्या किंवा अधिक माहितीसाठी हेल्पलाइन क्रमांक ०११-२४३००६०६, १५५२६१ येथे संपर्क करावा  धन्यवाद...
","FARMER ASKED ABOUT STATUS OF INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA AND HELPLINE NUMBER ?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,9,2024
JATH,Fruits,2024-09-25T20:07:47.173,Pomegranate,SANGLI,2561401,"डाळिंब पिकामध्ये करप्याच्या नियंत्रणासाठी कब्रिओटॉप 30 ग्रॅम/१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी (पायराक्लॉस्ट्रोबीन ५०% + मेटीराम ५५%) बीएएसएफ  
","farmer ask about control of blight disease on pomegranate?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,25,9,2024
