BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
BHOKARDAN,Vegetables,2025-04-01T10:59:44.733,Cucumber,JALNA,4019353,"काकडी पीक वाढीसाठी - १३ ४० १३  २  किलो + ब्ल्यू कॉपर ५०० ग्राम प्रति एकर ठिबक द्वारे द्यावे.धन्यवाद ","farmer asked about fertilizer dose for cucumber crop ?","Fertilizer Use and Availability",NA,HORTICULTURE,MAHARASHTRA,1,4,2025
MANTHA,Cereals,2025-04-01T12:16:32.89,Wheat,JALNA,4019171,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार आपल्या जालना जिल्ह्यातील मंथा तालुक्यात,या आठवड्यामध्ये वातावरण  ढगाळ राहील,पावसाची शक्यता  आहे.आजचे तापमान  कमाल 41 अंश सेल्सियस आणि किमान 23 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7  किलोमीटर आहे.हवामान अंदाजानुसार गहू पिकात पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे  धन्यवाद ! ","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,4,2025
JAFRABAD,Cereals,2025-04-01T15:44:44.063,Wheat,JALNA,4019547,"नमस्कार सर, हवामान विभागाच्या अंदाजानुसार आपल्या जालना जिल्ह्यात, जाफ्राबाद तालुक्यात पुढील पाच दिवस वातावरण ढगाळ असेल. हलक्या ते मध्यम  पावसाची शक्यता दाखवलेली आहे. जास्तीत जास्त तापमान ३७ अंश सेल्सिअस ,कमीत कमी तापमान २८ अंश सेल्सिअस व  वाऱ्याचा वेग ०७ किमी प्रति तास असेल. या हवामान विभागाच्या अंदाजानुसार आपल्या गहू पिकाच्या काढणीचे नियोजन करावे धन्यवाद!!!","Farmer asked query on Weather","Post Harvest Preservation",NA,AGRICULTURE,MAHARASHTRA,1,4,2025
GHANSAWANGI,Oilseeds,2025-04-01T16:45:43.387,"Groundnut (pea nut/mung phalli)",JALNA,4019296,"भुईमूग पिकातील बोकड्या नियंत्रणासाठी अलिका कीटकनाशकाची फवारणी करा","asked about attack of jassids on groundnut crop ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,1,4,2025
AMBAD,Others,2025-04-01T18:12:34.38,Others,JALNA,4019091,"जालना, महाराष्ट्रासाठी हवामानाचा अंदाज असा आहेः-बुधवार, 2 एप्रिल 2025:-कमाल तापमानः 38° से.-किमान तापमानः 26° से.-पाऊसः 1 मिमी.-वाऱ्याचा वेगः 14° कि. मी./ताशी-कमाल आर्द्रताः 31.0%-किमान आर्द्रताः 17.0%-ढगांचे आच्छादनः बहुतेक ढगाळ आकाश-गुरुवार, 3 एप्रिल 2025:-कमाल तापमानः 37° से.-किमान तापमानः 21° से.-पाऊसः 4.0 मिमी.-वाऱ्याचा वेगः 14° कि. मी./ताशी-कमाल आर्द्रताः 53.0%-किमान आर्द्रताः 20.0%-ढगांचे आच्छादनः अंशतः ढगाळ आकाश-शुक्रवार","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,4,2025
BHOKARDAN,Cereals,2025-04-01T19:39:34.497,Wheat,JALNA,4019232,"हवामान विभागाच्या अंदाजानुसार जालना   जिल्ह्यातील भोकरदन   तालुक्यामध्ये या आठवड्यात वातावरण ढगाळ राहील पावसाची शक्यता आहे , कमाल तापमान ३८ डिग्री सेल्सिअस किमान तापमान २२ डिग्री सेल्सियस वाऱ्याचा वेग ७  किलोमीटर ताशी ,  हवामान विभागाच्या अंदाजानुसार गहू पीकाचे  पुढील  नियोजन करावे  धन्यवाद","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,4,2025
GHANSAWANGI,Millets,2025-04-02T10:13:02.173,"Sorghum (Jowar/Great Millet)",JALNA,4026418,"
महोदय, हवामान  खात्याच्या अंदाजानुसार  वातावरण ढगाळ राहील. तुमच्या जालना  जिल्हा घनसावंगी  तालुका मध्ये   हलक्या ते मध्यम स्वरूपाचा  पाऊस  पडण्याची शक्यता आहे.  येत्या ५ दिवसात  किमान तापमान २३  अंश सेल्सिअस आणि कमाल तापमान ३६ अंश सेल्सिअस राहण्याची शक्यता आहे आणि वाऱ्याचा वेग ताशी १०  किलोमीटर राहण्याची शक्यता आहे.  हवामान  अंदाजानुसार  ज्वारीचा कडबा साठवणुकीचे नियोजन करू शकता धन्यवाद. ","Farmer asked query on Weather","Post Harvest Preservation",NA,AGRICULTURE,MAHARASHTRA,2,4,2025
GHANSAWANGI,Others,2025-04-02T10:13:28.597,Others,JALNA,4026419,"प्रधानमंत्री फसल विमा योजना संबंधित अधिक माहितीसाठी किंवा तक्रारीसाठी अथवा झालेल्या नुकसानीची माहिती देण्यासाठी संपर्क करा कृषी आणि शेतकरी कल्याण मंत्रालय कृषी रक्षक पोर्टल हेल्पलाइन -14447.
","FARMER ASKED INFORMATION ABOUT CONTACT OF PMFBY KRISHI RAKSHAK PORTAL  FOR REPORT CROP LOSS ?
","Crop Insurance",NA,AGRICULTURE,MAHARASHTRA,2,4,2025
GHANSAWANGI,Others,2025-04-02T11:44:07.197,Others,JALNA,4026632,"नमस्कार, नमो शेतकरी महासन्मान निधी योजनेचा हप्ता १ एप्रिल पासून वितरित करण्यात आला आहे. हप्त्याची रक्कम लवकरच आपल्या खात्यामध्ये जमा करण्यात येईल. धन्यवाद!","Farmer asked about the installment of Namo Shetkari Mahasamman Nidhi Yojana?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,4,2025
AMBAD,Others,2025-04-02T12:24:05.97,Others,JALNA,4026758," हवामान अंदाज नुसार जालना जिल्ह्यातील अंबड तालुक्यात, या आठवड्यामध्ये वातावरण ढगाळ राहील. हलक्या स्वरूपाच्या पावसाची  शक्यता आहे. आजचे तापमान कमाल ३८ अंश सेल्सियस आणि किमान २६ अंश सेल्सियस, वाऱ्याचा वेग ताशी ११ किलोमीटर आहे. हवामान अंदाजानुसार पिकाचे नियोजन करू शकता ,धन्यवाद ...!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,4,2025
