BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
BABINA,Cereals,2022-03-24T13:48:58.223,Wheat,JHANSI,974693,"श्रीमान जी 24 से 29 मार्च के बीच बारिश होने की कोई संभावना नहीं है, हल्के बादल बने हुए हैं| आज का न्यूनतम तापमान 26°C और अधिकतम तापमान 34°C एवं हवा की गति 7 से 14 किमी./ प्रति घंटा रहने की संभावना है| मौसम के अनुसार कृषि कार्य को करें|.
","Information about Weather forecast of Block Babina in District- Jhansi  ......?
",Weather,NA,AGRICULTURE,"UTTAR PRADESH",24,3,2022
"SADAULI QADEEM",Vegetables,2022-03-24T13:49:26.507,Radish,SAHARANPUR,974555,"श्रीमान जी डाइमेथोएट 30%EC 300-400 ml/एकड़/200 लीटर पानी का घोल बनाकर स्प्रे करे","Information about insect problem in Radish...?","	Plant Protection	",NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
"RAMIA BEHAR","Sugar and Starch Crops",2022-03-24T13:52:28.273,"Sugarcane (Noble Cane)",KHERI,975383,"श्रीमान जी गन्ने के टुकड़ों को उपचारित करने के लिए - कार्बेंडाजिम - 50% डब्ल्यूपी - 2 ग्राम प्रति लीटर पानी में घोल बनाकर गन्ने के टुकड़ों को घोल में डुबोकर 10 से 15 मिनट तक रखें और उसके बाद छाया में सुखाकर बुवाई करें
","Provide information related to treating sugarcane pieces.
","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",24,3,2022
KARA,Animal,2022-03-24T13:56:16.7,"Bovine(Cow,Buffalo)",KAUSHAMBI,975568,"महोदय आप  पशु संबंधित अधिक जानकारी के लिए अपने ब्लॉक के पशु चिकित्सक डॉक्टर या टोल फ्री नंबर-1800 180 5141पर संपर्क करें|","Information about Animal Husbandry Toll Free Number...?","Animal Breeding",NA,"ANIMAL HUSBANDRY","UTTAR PRADESH",24,3,2022
KADAURA,Vegetables,2022-03-24T13:56:22.66,"Peas (field peas/ garden peas/matar)",JALAUN,974518,"महोदय जी आप के क्षेत्र में  24-25 मार्च में आंशिक  रूप से बादल छाए रहेंगे तथा 26- 29 मार्च में मौसम साफ रहने की सम्भावना है   आज का न्यूनतम तापमान 26° C और अधिकतम तापमान 38° C और हवा की गति 07-14 किमी / घंटा रहने की सम्भावना है। मौसम के अनुसार कृषि कार्य करें।    ","Information about Weather forecast of Block  Itaura   in District Jalaun ……?   ",Weather,NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
"RAMIA BEHAR",Fruits,2022-03-24T13:56:55.577,Mango,KHERI,975386," श्रीमान जी आम के पौधों के अच्छे विकास के लिए 10 वर्ष से अधिक पुराने पौधों में - सड़े गोबर की खाद - 100 किलोग्राम + यूरिया - 1.7Kg + D.A.P - 1.1Kg + पोटाश - 1.7 Kg + कॉपर सल्फेट - 250 ग्राम + जिंक सल्फेट - 250 ग्राम + बोरेक्स - 250 ग्राम प्रति पेड़ की दर से उर्वरक का प्रयोग करते हैं सभी उर्वरको को दो बराबर भागों में बांट कर आधी मात्रा का प्रयोग अक्टूबर-नवंबर माह में करते हैं और आधी मात्रा का प्रयोग जुलाई माह में करते हैं
","Provide information related to the use of fertilizers in mango plants
","Fertilizer Use and Availability",NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
"RAMIA BEHAR",Fruits,2022-03-24T13:57:00.8,Mango,KHERI,975384," श्रीमान जी आम के पौधों के अच्छे विकास के लिए 10 वर्ष से अधिक पुराने पौधों में - सड़े गोबर की खाद - 100 किलोग्राम + यूरिया - 1.7Kg + D.A.P - 1.1Kg + पोटाश - 1.7 Kg + कॉपर सल्फेट - 250 ग्राम + जिंक सल्फेट - 250 ग्राम + बोरेक्स - 250 ग्राम प्रति पेड़ की दर से उर्वरक का प्रयोग करते हैं सभी उर्वरको को दो बराबर भागों में बांट कर आधी मात्रा का प्रयोग अक्टूबर-नवंबर माह में करते हैं और आधी मात्रा का प्रयोग जुलाई माह में करते हैं
","Provide information related to the use of fertilizers in mango plants
","Fertilizer Use and Availability",NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
"THANA BHAWAN",Others,2022-03-24T14:00:43.41,Others,"SHAMLI (PRABUDH NAGER)",975656,"श्रीमान जी PM किसान सम्मान निधि योजना के लिए www.pmkisan.gov.inc.in पर जानकारी ले सकते है,कृषि विभाग और ब्लॉक से सम्पर्क करे-1800-115526
","Information About Installment status Under Pradhanmantri kisan samman nidhi scheme…?",Weather,NA,AGRICULTURE,"UTTAR PRADESH",24,3,2022
"MAYA BAZAR",Fruits,2022-03-24T11:29:41.957,Mango,FAIZABAD,969625,"श्री मान जी आम के पौधे में कॉपर सल्फेट 175 ग्राम +जिंक सल्फेट 175 ग्राम + बोरेक्स 85 ग्राम + बुझा चूना 70 ग्राम / पेड़ की दर से मिटटी में मिलाये और पानी लगाएं","Information about Control for Gummosis in mango plant…...? ","	Plant Protection	",NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
JAMALPUR,Cereals,2022-03-24T11:30:54.447,Wheat,MIRZAPUR,969162,"महोदय, 24 मार्च से 29 मार्च के बीच बारिश होने की संभावना नहीं है,आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 28 ° C औरअधिकतम तापमान 38° C एवं हवा की गति 11-14 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य को करे l","Information About in Weather forecast of Block Jamalpur in District Mirzapur....?",Weather,NA,AGRICULTURE,"UTTAR PRADESH",24,3,2022
NAWABGANJ,"Drug and Narcotics",2022-03-24T11:33:05.703,Tobacco,FARRUKHABAD,969094,"श्रीमान जी 24 से 29 मार्च के बीच बारिश होने की कोई संभावना नहीं है, हाल के बादल बने हुए हैं| आज का न्यूनतम तापमान 22°C एवं अधिकतम तापमान 32°C तथा हवा की गति 7 से 14 किमी प्रति घंटा रहने की संभावना है मौसम के अनुसार कृषि कार्य को करें|","Information about Weather forecast of Block- Nawabganj in District- Farrukhabad ...?",Weather,NA,HORTICULTURE,"UTTAR PRADESH",24,3,2022
BIRDHA,Others,2022-03-24T11:34:03.47,Others,LALITPUR,969631,"--श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना की वेबसाइट अभी ओपन नहीं हो पा रही है अभी हम आपके फार्म का स्टेटस बताने में असमर्थ है आप पीएम-किसान हेल्पलाइन नं-011-23381092, 011-23382401 ,011-24300606,155261/1800115526 (टोल फ्री) पर सम्पर्क करे   ","Information about Payment Status in Pm Kisan samman nidhi scheme ....?     ","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",24,3,2022
