BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
BISRAKH,Others,2024-09-30T14:25:33.097,Others,"GAUTAM BUDDHA NAGAR",2621438,"पूसा दिल्ली के संपर्क नम्बर = 011-25841670, टोल फ्री नम्बर - 1800-11-8989 है। 
","FARMER ASKED ABOUT TO PM CONTACT NUMBER OF IARI PUSA DELHI ? 
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",30,9,2024
MADANPUR,Cereals,2024-09-12T14:10:43,"Paddy (Dhan)",FIROZABAD,2448612,"महोदय मौसम विभाग का पूर्वानुमान आपके जिला  फिरोजाबाद ब्लॉक मदनपुर  में 11 सितंबर  से 15 सितंबर  के बीच बूंदा-बांदी होने के साथ हल्की बारिश की संभावना है,आंशिक रूप से बादल छाए रहेंगे। अधिकतम तापमान 32 डिग्री सेंटीग्रेड और  न्यूनतम तापमान 24 डिग्री सेंटीग्रेड एवं हवा की गति 11 KM/घंटा रहने की संभावना है। मौसम के अनुसार सिंचाई का कार्य करें |","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",12,9,2024
EKA,Cereals,2024-09-12T18:21:31.8,"Paddy (Dhan)",FIROZABAD,2448228,"महोदय, मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र में 12 सितम्बर से 18 सितम्बर तक पूरे सप्ताह आंशिक रूप से बादल छाए रहने के साथ -साथ छिटपुट बूंदाबांदी से लेकर मध्यम बारिश होने की संभावना है कल का अधिकतम तापमान 31  डिग्री सेल्सियस तथा न्यूनतम 27  डिग्री सेल्सियस रहने की संभावना है तथा हवा की गति 7-25  किलोमीटर प्रति घंटा रहने की संभावना है कृपया मौसम के अनुसार ही धान की फसल मे जल प्रबंधन करे|","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",12,9,2024
HASANPUR,Others,2024-09-01T16:28:13.09,Others,"JYOTIBA PHULE NAGAR",2349143,"
महोदय जी मौसम विभाग के पूर्वानुमान के अनुसार आपके जिला-ज्योतिबा फुले नगर  ,ब्लॉक-हसनपुर में 1-7 सितंबर के बीच पूरे सप्ताह आंशिक रूप से बादल रहेंगे जिसमे 2,4 सितंबर में हल्की बारिश होने की संभावना है |आज का न्यूनतम तापमान 28 डिग्री सेल्सियस और अधिकतम तापमान 32 डिग्री सेल्सियस है और हवा की गति 2-3 किमी/घंटा होने की संभावना है। मौसम के अनुसार धान की फसल की सिंचाई करें |
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",1,9,2024
EKA,Cereals,2024-09-13T15:45:49.47,"Paddy (Dhan)",FIROZABAD,2456126,"श्रीमान जी, मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र में 13 सितंबर से 19 सितंबर तक का मौसम ज्ञात हो रहा है | सभी दिनों में बादल बने रहने के साथ  बूंदाबांदी और हल्की बारिश की संभावनाएं बनी हैं | आज का अधिकतम तापमान 33 डिग्री सेंटीग्रेड तथा न्यूनतम तापमान 28 डिग्री सेंटीग्रेड, हवा की गति 04- 11 किलोमीटर प्रति घंटे की गति से चलने की  संभावना है धान की फसल में सिचाई अपने क्षेत्र के मौसम के अनुसार करें |","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",13,9,2024
EKA,Vegetables,2024-09-13T19:43:42.227,"Ash Gourd (Petha)",FIROZABAD,2456490,"सर आप पेठा की फसल में Naphthalene Acetic Acid 4.5%SL - 1ml प्रति 4 लीटर पानी में घोलकर स्प्रे करें | आप पेठा की फसल में  NPK - 19:19:19, 1.5 किलोग्राम प्रति एकड़ 200 लीटर पानी में घोलकर स्प्रे करें | 
","Information about fruit setting in ash gourd..?","Nutrient Management",NA,HORTICULTURE,"UTTAR PRADESH",13,9,2024
HASANPUR,Others,2024-09-26T17:07:39.327,Others,"JYOTIBA PHULE NAGAR",2578281,"श्रीमान जी, प्रधानमंत्री किसान सम्मान निधि योजना की 18वीं किस्त 05th Oct 2024.को जारी होने की संभावना है, कृपया प्रतीक्षा करें|
","Information about the 18th installment of PM Kisan Samman Nidhi Yojana....?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",26,9,2024
JASRANA,Cereals,2024-09-14T12:55:44.787,"Paddy (Dhan)",FIROZABAD,2465832,"मौसम का पूर्वानुमान संभावना है अगले पांच दिनों में मध्यम से वर्षा लेकिन आंशिक रूप से बादल छाए रहेंगे। आज की अपेक्षा अधिकतम तापमान 32°C और न्यूनतम तापमान 26 °C है हवा की गति  7-11 किलोमीटर प्रति घंटा चलने की संभावना है मौसम को ध्यान में रखते हुए सिंचाई करें।","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",14,9,2024
HASANPUR,Others,2024-09-27T17:56:29.43,Others,"JYOTIBA PHULE NAGAR",2589601,"श्रीमान जी,किसान सम्मान निधि योजना में नया पंजीकरण करने के लिए कृपया आधार कार्ड,खतौनी, पासबुक, राशन कार्ड लेकर अपने आस-पास के जन सेवा केंद्र पर संपर्क करें |
","Information about apply for new registration in pmkisan.gov.in. ?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",27,9,2024
AMROHA,Others,2024-09-28T13:13:07.493,Others,"JYOTIBA PHULE NAGAR",2595635,"श्रीमान जी, प्रधानमंत्री किसान सम्मान निधि योजना के अंतर्गत अधिक जानकारी के लिए अपने ब्लॉक के बीज गोदाम प्रभारी महोदय अथवा जिले के उप कृषि निदेशक कार्यालय में संपर्क करें |","Information about the problem of not getting benefits of PM kisan samman nidhi scheme.. ? 
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",28,9,2024
SHIKOHABAD,Cereals,2024-09-15T07:03:49.727,"Paddy (Dhan)",FIROZABAD,2473560,"श्रीमान जी, मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र में 15 से 21 सितंबर तक का मौसम ज्ञात हो रहा है | सभी दिनों में बादल बने रहने के साथ 15,17,18 सितंबर को बूँदाबाँदी की संभावनाएं देखी जा रही है, आज का अधिकतम तापमान 32 डिग्री सेल्सियस तथा न्यूनतम तापमान 27 डिग्री सेल्सियस, हवा की गति 04-14 किलोमीटर प्रति घंटे की गति से चलने की संभावना है, धान की फसल में कृषि कार्य अपने क्षेत्र के मौसम के अनुसार करें |
","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",15,9,2024
DHANAURA,Others,2024-09-30T09:23:28.887,Others,"JYOTIBA PHULE NAGAR",2621397,"श्रीमान जी, मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र मे 30 सितंबर से 06 अक्टूबर तक का मौसम ज्ञात हो रहा है | आंशिक बादल देखे जा सकते हैं परन्तु बारिश अथवा बूंदाबांदी की संभावना नही है, आज का अधिकतम तापमान 31 डिग्री सेल्सियस तथा न्यूनतम तापमान 26 डिग्री सेल्सियस, हवा की गति 07-11 किलोमीटर प्रति घंटे की गति से चलने की संभावना है, मौसम के अनुसार धान की फसल मे सिंचाई करें।
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,"UTTAR PRADESH",30,9,2024
ARAON,Cereals,2024-09-16T16:09:40.637,"Paddy (Dhan)",FIROZABAD,2480796,"महोदय जी-भारतीय मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र में 16 सितंबर  से 22 सितंबर तक बादल और बारिश होने की संभावना है ,अधिकतम तापमान 33 डिग्री सेल्सियस न्यूनतम तापमान 24 डिग्री सेल्सियस रहने की संभावना है , हवा की गति न्यूनतम 7 किलोमीटर ,अधिकतम 25 किलोमीटर प्रति घंटा की रफ्तार से चलने की संभावना है, मौसम की पूर्वानुमान के अनुसार धान की फसल में  सिंचाई करें |
","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",16,9,2024
"ERWA KATRA",Cereals,2024-09-24T11:37:57.407,"Paddy (Dhan)",AURAIYA,2548182,"श्रीमान जी, आपके क्षेत्र में 24 सितंबर से 30 सितंबर तक का मौसम ज्ञात हो रहा है। सभी दिनों आंशिक बादल के साथ  25 सितंबर से 29 सितंबर तक हल्की बूंदाबांदी देखने को मिल सकती हैं| आज का अधिकतम तापमान 34 डिग्री सेल्सियस तथा न्यूनतम तापमान 28 डिग्री सेल्सियस, हवा की गति 04-07 किलोमीटर प्रति घंटे की गति से चलने की संभावना है, धान की फसल में सिंचाई अपने क्षेत्र के मौसम के अनुसार करें ।","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,"UTTAR PRADESH",24,9,2024
ACHCHALDA,Others,2024-09-25T07:33:21.18,Others,AURAIYA,2554826,"महोदय, अछल्दा, औरैया, उत्तर प्रदेश के लिए मौसम का पूर्वानुमान अगले कुछ दिनों में हल्की बारिश और कुल वर्षा 15 मिमी से कम होने का संकेत देता है, साथ ही आसमान में आंशिक रूप से बादल छाए रहेंगे। न्यूनतम तापमान 24 डिग्री सेल्सियस के आसपास रहेगा और अधिकतम तापमान 37 डिग्री सेल्सियस तक पहुंच जाएगा, जबकि हवा की गति 5 से 17 किमी प्रति घंटे तक रहने की उम्मीद है।","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2024
"ERWA KATRA",Cereals,2024-09-25T08:24:40.9,"Paddy (Dhan)",AURAIYA,2554773,"श्रीमान जी, मौसम विभाग के पूर्वानुमान के अनुसार आपके क्षेत्र में 23 सितंबर से 1 अक्टूबर तक का मौसम ज्ञात हो रहा है | सभी दिनों में बादल बने रहने के साथ  बूंदाबांदी और हल्की बारिश  की संभावनाएं बनी हैं | आज का अधिकतम तापमान 33 डिग्री सेंटीग्रेड तथा न्यूनतम तापमान 30 डिग्री सेंटीग्रेड, हवा की गति 04-14 किलोमीटर प्रति घंटे की गति से चलने की  संभावना है धान की फसल में सिचाई अपने क्षेत्र के मौसम के अनुसार करें |
","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",25,9,2024
"ERWA KATRA",Others,2024-09-25T13:58:57.63,Others,AURAIYA,2565490,"श्रीमान जी रोटावेटर पर 40 से 50% सब्सिडी प्राप्त होगी","Information about subsidy on rotavator..?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",25,9,2024
SAHAR,Millets,2024-09-26T15:08:43.053,"Maize (Makka)",AURAIYA,2578444,"महोदय आप के यहां 26 सितंबर से 2 अक्टूबर के बीच हल्के बादल और 2-5 मिमी तक बारिस की संभावना है / आज का अधिकतम तापमान 32-33 डिग्री सेल्सियस है,और न्यूनतम तापमान 26-27 डिग्री सेल्सियस है, हवा की गति 7-11 किलोमीटर प्रति घंटा है /कृपया मौसम को देखकर कृषि कार्य करें / ","Farmer asked query on Weather","	Field Preparation	",NA,AGRICULTURE,"UTTAR PRADESH",26,9,2024
SAHAR,Cereals,2024-09-26T15:59:17.27,"Paddy (Dhan)",AURAIYA,2578247,"श्रीमान जी मौसम विभाग के पूर्वानुमान के अनुसार आपके जिला औरैया के ब्लॉक सहर मे 26 सितम्बर से 30 सितम्बर के बीच (0.2-2 मिली मीटर) की हल्की बूँदा-बांदी  होने की संभावना है आंशिक रूप से बादल 2 अक्टूबर तक छाए रहेगे आज का न्यूनतम तापमान 25 डिग्री सेल्सियस और अधिकतम तापमान 30 डिग्री सेल्सियस एवं हवा की गति 11 किलोमीटर प्रति घंटा रहने की संभावना है मौसम के अनुसार धान की फसल मे कीटनाशी दवा का छिड़काव करे ","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",26,9,2024
