review_id,app,category,rating,helpful_votes
5,Fieldkit,field research,5,5
7,Fieldkit,field research,5,23
8,Maze,usability testing,5,34
16,Maze,usability testing,5,40
24,Fieldkit,field research,5,34
40,Fieldkit,field research,5,43
50,Fieldkit,field research,5,43
55,Fieldkit,field research,5,44
68,Maze,usability testing,5,4
76,Fieldkit,field research,5,9
79,Fieldkit,field research,5,37
83,Maze,usability testing,5,17
100,Maze,usability testing,5,27
107,Maze,usability testing,5,42
122,Maze,usability testing,5,2
126,Fieldkit,field research,5,37
133,Fieldkit,field research,5,33
134,Maze,usability testing,5,47
137,Maze,usability testing,5,23
159,Fieldkit,field research,5,9
162,Maze,usability testing,5,25
164,Maze,usability testing,5,9
173,Maze,usability testing,5,32
178,Maze,usability testing,5,3
186,Maze,usability testing,5,23
196,Maze,usability testing,5,5
201,Fieldkit,field research,5,27
205,Fieldkit,field research,5,41
209,Maze,usability testing,5,47
211,Fieldkit,field research,5,34
221,Maze,usability testing,5,14
240,Fieldkit,field research,5,24
242,Maze,usability testing,5,2
257,Maze,usability testing,5,15
263,Maze,usability testing,5,21
269,Maze,usability testing,5,42
271,Fieldkit,field research,5,8
278,Maze,usability testing,5,30
282,Fieldkit,field research,5,27
285,Fieldkit,field research,5,15
309,Maze,usability testing,5,36
314,Fieldkit,field research,5,11
324,Fieldkit,field research,5,43
335,Maze,usability testing,5,6
342,Fieldkit,field research,5,10
362,Maze,usability testing,5,40
365,Maze,usability testing,5,17
382,Fieldkit,field research,5,27
383,Fieldkit,field research,5,32
385,Maze,usability testing,5,29
390,Fieldkit,field research,5,0
393,Fieldkit,field research,5,11
402,Maze,usability testing,5,12
404,Maze,usability testing,5,10
405,Maze,usability testing,5,45
408,Fieldkit,field research,5,41
419,Maze,usability testing,5,31
423,Maze,usability testing,5,19
427,Maze,usability testing,5,31
429,Fieldkit,field research,5,13
439,Maze,usability testing,5,5
448,Fieldkit,field research,5,7
452,Maze,usability testing,5,1
458,Fieldkit,field research,5,40
462,Maze,usability testing,5,0
469,Maze,usability testing,5,45
486,Maze,usability testing,5,39
487,Fieldkit,field research,5,24
489,Fieldkit,field research,5,26
491,Maze,usability testing,5,10
494,Maze,usability testing,5,2
495,Maze,usability testing,5,2
499,Fieldkit,field research,5,43
