BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
Yadagiri,Others,2022-04-02T11:20:59.507,Others,YADAGIRI,1037528,"--Given necessary information 
","Asked about PM kisan Samman nidhi  yojana
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,4,2022
KOLAR,Others,2022-04-01T16:22:53.457,Others,KOLAR,1034341,"ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಇಂದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದ್ದು ಮಳೆ ನಿರೀಕ್ಷೆ (60% ) . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣಮಿತ್ರ ಅನ್ನು ಸಂಪರ್ಕಿಸಿ 08067735999, 9243345433","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,1,4,2022
JEVARGI,Others,2022-04-01T16:23:14.657,Others,GULBARGA,1034336,"Given necessary information 
","Asked about PM kisan Samman nidhi  yojana
","Government Schemes",NA,AGRICULTURE,KARNATAKA,1,4,2022
KUNDGOL,Oilseeds,2022-04-01T16:26:08.67,"Sunflower (suryamukhi)",DHARWAD,1034329,"RAICHUR	30/03/2022	Sunflower	37	6069	6639	6639
RANIBENNUR	30/03/2022	Sunflower	3402	7150	8150	7800
YADGIR	29/03/2022	Sunflower	18	5869	6009	5962","Asked about market rate of sunflower.
","Market Information",NA,AGRICULTURE,KARNATAKA,1,4,2022
ALAND,Flowers,2022-04-01T16:32:44.937,Rose,GULBARGA,1034324,"--Information is given and suggested to contact  IIHR contact number -08023086100, 08028446815
","Asked about Varieties in ROSE
","Cultural Practices",NA,HORTICULTURE,KARNATAKA,1,4,2022
GADAG,Others,2022-04-01T16:43:50.03,Others,GADAG,1034335,"given necessary information
","Asked about government scheme
","Government Schemes",NA,AGRICULTURE,KARNATAKA,1,4,2022
SHORAPUR,Fruits,2022-04-02T09:09:43.727,Papaya,GULBARGA,1035565,"BINNY MILL (F&V)	30/03/2022	Papaya	550	1000	1800","Asked about market rate of   PAPAYA                                                                                
","Market Information",NA,HORTICULTURE,KARNATAKA,2,4,2022
HOLALKERE,Others,2022-04-02T09:33:12.04,Others,CHITRADURGA,1035553,"IRRELEVANT call
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,4,2022
"BASAVANA BAGEWADI",Others,2022-04-02T11:39:07.23,Others,BIJAPUR,1037498,"30/03/2022
Mandi  : Bijapur
Commodity : Bengal Gram(Gram)(Whole)
(Modal Price): 4650/Quintal","Farmer asked price detail of Bengal Gram(Gram)(Whole) in Bijapur mandi.","Market Information",NA,AGRICULTURE,KARNATAKA,2,4,2022
"0   ",Others,2022-04-02T11:53:59.613,Others,BAGALKOT,1037529,"INCOMPLETE CALL
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,4,2022
AURAD,Others,2022-04-02T12:11:44.687,Others,BIDAR,1037531,"--given necessary information
","Asked about PM Kisan Samman Nidhi yojana 
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,4,2022
DAVANAGERE,Others,2022-04-02T12:21:24.747,Others,DAVANAGERE,1037505,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 15% ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,4,2022
DAVANAGERE,Others,2022-04-02T10:01:33.66,Others,DAVANAGERE,1035554,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 15% ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,4,2022
BELTANGADI,Others,2022-04-02T10:33:08.793,Others,DAKSHINAKANNADA,1035561,"Given necessary information 
","Asked about PM kisan Samman nidhi  yojana
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,4,2022
KUNDGOL,Others,2022-04-04T09:42:44.727,Others,DHARWAD,1047597,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ 10 - 40%. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,4,4,2022
SAVANUR,Others,2022-04-04T09:49:49.85,Others,HAVERI,1047587,"----Information is given and suggested to contact sericulture  department
","Asked about General information Subsidy for sericulture
","Cultural Practices",NA,AGRICULTURE,KARNATAKA,4,4,2022
HOLALKERE,"Plantation Crops",2022-04-04T09:52:57.547,Arecanut,CHITRADURGA,1047604,"CHANNAGIRI	31/03/2022	Rashi	1301	45499	47500","Asked about Market rate of Arecanut
","Market Information",NA,HORTICULTURE,KARNATAKA,4,4,2022
KRISHNARAJPET,Others,2022-04-04T09:56:11.403,Others,MANDYA,1047588,"given necessary information
","Asked about PM Kisan Samman Nidhi yojana 
","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,4,2022
