BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MANVI,Others,2022-09-11T16:07:12.253,Others,RAICHUR,2588556,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
CHIKODI,Others,2022-09-11T16:07:55.713,Others,BELGAUM,2588569,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 100% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
JEVARGI,"Fiber Crops",2022-09-11T16:10:50.06,"Cotton (Kapas)",GULBARGA,2588599,"Precipitation: 60%
Humidity: 79%
Wind: 29 km/h","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
BIJAPUR,Oilseeds,2022-09-11T16:17:03.51,"Sunflower (suryamukhi)",BIJAPUR,2588611,"ವಾತಾವರಣವಿದ್ದು ಮಧ್ಯಮ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ (70 %). ಇಂದಿನ ನಿರೀಕ್ಷಿತ ಗರಿಷ್ಠ ತಾಪಮಾನ 28  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 22  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 16 ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ. ಹಾಗೂ ಹವಾಮಾನ ಮುನ್ಸೂಚನೆಯನ್ನು ನೋಡಿ ಹೆಚ್ಚು ಮಳೆಯಾದಲ್ಲಿ ನಿಮ್ಮ ಬೆಳೆಗೆ ನೀರು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರದವರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999  
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
HAGARIBOMMANAHALLI,Millets,2022-09-11T16:32:49.087,"Maize (Makka)",BELLARY,2588661,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
Shahpur,Others,2022-09-11T16:34:50.92,Others,YADAGIRI,2588822,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999 ಮತ್ತು 9243345433 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
TIPTUR,Millets,2022-09-11T16:35:52.183,"Italian Millet (Thenai/Navane/Foxtail Millet/Kang)",TUMKUR,2588543,"  ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 60 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
HONNALI,Others,2022-09-11T16:44:19.823,Others,DAVANAGERE,2588609,"28°C°F
Precipitation: 60%
Humidity: 79%
Wind: 19 km/h
Honnali, Karnataka
Sunday
Scattered thunderstorms
TemperaturePrecipitationWind","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,11,9,2022
KALGHATGI,Millets,2022-09-12T12:04:46.31,"Maize (Makka)",DHARWAD,2594562,"ವಾತಾವರಣವಿದ್ದು ಮಧ್ಯಮ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ (60 %). ಇಂದಿನ ನಿರೀಕ್ಷಿತ ಗರಿಷ್ಠ ತಾಪಮಾನ 28  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 22  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 16 ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ. ಹಾಗೂ ಹವಾಮಾನ ಮುನ್ಸೂಚನೆಯನ್ನು ನೋಡಿ ಹೆಚ್ಚು ಮಳೆಯಾದಲ್ಲಿ ನಿಮ್ಮ ಬೆಳೆಗೆ ನೀರು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರದವರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999  
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,12,9,2022
CHALLAKERE,Cereals,2022-09-12T12:05:52.64,"Paddy (Dhan)",CHITRADURGA,2594617,"  ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 60 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,12,9,2022
