BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
JEVARGI,"Fiber Crops",2023-10-18T17:15:08.637,"Cotton (Kapas)",GULBARGA,7115488,"Market	Market Date	Variety	Arrivals	Minimum Price	Maximum Price	Modal Price
ARSIKERE	17/10/2023	Brahma	121	7757	7757	7757
BALLARI	17/10/2023	NH-44 COTTON	7	5229	6129	5871
CHITRADURGA	17/10/2023	D.C.H.	2364	2069	9010	7414
DAVANAGERE	16/10/2023	Brahma	15	3009	6760	6604
HAVERI	17/10/2023	BT	2	6900	6900	6900
JAGALUR	16/10/2023	BANNI	11	7110	7200	7134
KOTTUR	16/10/2023	BT	50	3700	6709	6194
RAICHUR	18/10/2023	HYBRID-44	10	6750	7600	7300
RANIBENNUR	16/10/2023	BT	1245	3369	7790	6910
SANTHESARGUR	12/10/2023	Cotton-64	15	420	420	420
SAVANUR	17/10/2023	BT	6	6811	7241	7063
SAVANUR	12/10/2023	D.C.H.	32	6666	7469	7236
VIJAYAPURA	18/10/2023	BANNI	1736	5005	8189	7194
","Market Prices For  Cotton / ?????/Suyodhar / ???????","Market Information",NA,AGRICULTURE,KARNATAKA,18,10,2023
HIRIYUR,Others,2023-10-18T13:23:24.4,Others,CHITRADURGA,7113255,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ  ಇಂದು ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (20%).  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
NARAGUND,Pulses,2023-10-18T13:43:02.453,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",GADAG,7113263,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(20%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999 ಮತ್ತು 9243345433 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
BELLARY,Others,2023-10-18T12:41:00.05,Others,BELLARY,7112258,"Precipitation: 10%
Humidity: 34%
Wind: 18 km/h
Weather
Wednesday
Mostly Sunny","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
BHALKI,Others,2023-10-18T12:45:45.997,Others,BIDAR,7112485,"FASAL BHIMA YOJANA helpline  ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ)   8277929826  8277929989  08022074123 08022074188  ಜಂಟಿ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ) 8277929822 08022074123 8277929838 080-22074123/188 
","Asked about PMFBY Scheme
","Government Schemes",NA,AGRICULTURE,KARNATAKA,18,10,2023
SIRUGUPPA,Millets,2023-10-18T12:48:41.12,"Maize (Makka)",BELLARY,7112482,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(20%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999 ಮತ್ತು 9243345433 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
DHARWAD,Others,2023-10-18T12:50:48.79,Others,DHARWAD,7112487,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ(20%) . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
KUNDGOL,Pulses,2023-10-18T12:55:29.303,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",DHARWAD,7112344,"ಇಂದು ನಿಮ್ಮ ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಯಾವುದೇ ಮಳೆಯ ನಿರೀಕ್ಷೆಯಿಲ್ಲ (10%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣಮಿತ್ರ 08067735999 ಅಥವಾ 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
HARAPPANAHALLI,Others,2023-10-18T12:58:07.69,Others,DAVANAGERE,7112474,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ  ಇಂದು ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (20%).  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,10,2023
MANVI,"Fiber Crops",2023-10-16T15:01:25.863,"Cotton (Kapas)",RAICHUR,7091598,"Suggested to spray 5 ml. Spinosad 45 SC. in 25  litres of  water
","Asked about Plant protection in COTTON 
","	Plant Protection	",NA,AGRICULTURE,KARNATAKA,16,10,2023
MUDDEBIHAL,Oilseeds,2023-10-21T14:28:19.8,"Groundnut (pea nut/mung phalli)",BIJAPUR,7139959,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ 10 - 20%. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,21,10,2023
RAMDURG,Others,2023-10-20T17:18:36.693,Others,BELGAUM,7130899,"Call disconnected 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,20,10,2023
HAGARIBOMMANAHALLI,Vegetables,2023-10-20T17:44:27.133,Onion,BELLARY,7133940,"Recommended to spray Chloropyriphos 20 EC - 2 ml per lit. water
","Asked about Plant protection in 
","	Plant Protection	",NA,HORTICULTURE,KARNATAKA,20,10,2023
HIREKERUR,Others,2023-10-20T18:20:36.38,Others,HAVERI,7134032,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (20%).  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433,
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,20,10,2023
BIJAPUR,Others,2023-10-20T18:58:06.303,Others,BIJAPUR,7133938,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (20%) ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,20,10,2023
JAGALUR,Others,2023-10-20T18:58:13.823,Others,DAVANAGERE,7133947,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (20%) ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,20,10,2023
RAICHUR,Others,2023-10-20T15:39:18.8,Others,RAICHUR,7132421,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ (20%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.   
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,20,10,2023
DODBALLAPUR,Pulses,2023-10-20T15:43:00.71,"Pigeon pea (red gram/arhar/tur)","BANGALORE RURAL",7132431,"Suggested to spray SAAF :- bavistin (carbendazim) + mancozeb)  1 gm per lit of water.
","Asked about plant protection in diseases.   
","	Plant Protection	",NA,AGRICULTURE,KARNATAKA,20,10,2023
HANAGAL,Millets,2023-10-20T15:56:38.973,"FingerMillet  (Ragi/Mandika)",HAVERI,7132451,"--If planting has to be done, plant the seedlings at 1 ft. rows and 4''intra rows with 2 - 3 seedlings/ hill.","Asked about general information 
","Cultural Practices",NA,AGRICULTURE,KARNATAKA,20,10,2023
