BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
KHED,Cereals,2022-10-25T08:48:57.037,Wheat,PUNE,3131346,"गहू पिकाचे वाण-
1) पीकेव्ही वाशिम 2) एकेडीडब्लु 2997-16 (शरद)
3) पंचवटी (एनआयडीडब्ल्यु-15) 4) एन 59
5) एनआय 5439 6) एनआयएडब्ल्यु-1415 (नेत्रावती)","ASKED ABOUT VARIETIES OF WHEAT?",Varieties,NA,AGRICULTURE,MAHARASHTRA,25,10,2022
PATHRI,Others,2022-10-25T08:50:43.863,Others,PARBHANI,3131349,"22/10/2022
कापूस पिकाचे बाजारभाव -   वरोरा-माढेली मार्केट - कमीत कमी -६६००  रु/क्विंटल जास्तीत जास्त -  ८००१ रु/क्विंटल , सरासरी भाव - ७५५१ रु/क्विंटल . धन्यवाद 
","Farmer asked price detail of Cotton in Bhadrawati mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,25,10,2022
PATHRI,Oilseeds,2022-10-25T08:55:03.557,"Soybean (bhat)",PARBHANI,3131350,"22/10/2022
सोयाबीन  पिकाचे बाजारभाव -  मानवत मार्केट - कमीत कमी -३९००  रु/क्विंटल जास्तीत जास्त - ४८५०  रु/क्विंटल , सरासरी भाव -  ४३२५ रु/क्विंटल . धन्यवाद 
","Farmer asked price detail of Soyabean in Manwat mandi.","Market Information",NA,AGRICULTURE,MAHARASHTRA,25,10,2022
MOTALA,Pulses,2022-10-23T16:40:15.483,"Pigeon pea (red gram/arhar/tur)",BULDANA,3119831,"फुलधारणेसाठी बुमफ्लॉवर.(नायट्रोबेंझीन २० %)  30मिली/15लिटर पाण्यामध्ये घेऊन फवारणी करावी.
","FARMER ASKED ABOUT spraying for increasing flowering in RED GRAM ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,23,10,2022
MOTALA,"Fiber Crops",2022-10-23T16:45:43.863,"Cotton (Kapas)",BULDANA,3119833,"मलकापूर मार्केट मध्ये कापूस पिकाचे बाजार भाव अद्याप उपलब्ध झालेले नाही धन्यवाद शुभ दिवस.","Farmer asked price detail of --Select-- in Malkapur mandi","Market Information",NA,AGRICULTURE,MAHARASHTRA,23,10,2022
CHAKUR,Oilseeds,2022-10-23T16:48:15.56,"Safflower (kusum/kardi)",LATUR,3119871,"पिकाचे नाव-करडी(सेप्टेंबर-ऑक्टोबर) 
बियाणे प्रमाण (किलो ./हे.)११
लागवडीचे अंतर (से.मीटर)-पेरणी करिता दोन ओळीत ४५ से.मी
फुलोर्‍यावर फुलोर्‍यावर येण्याचा कालावधी-७५-८०
हेक्टरी उत्पादन (क्विंटल/हे.)सुधारित-१०-१२,संकरीत-१५-१८
सुधारित जाती-सुधारित-एकेएस-२०७,भीमा,नारी
संकरीत-नारी-एनएच-१,फूले कुसुम,फुले चंद्रभागा (एस.एस.एफ ७४८)
","farmer asked about varieties of safflower ?",Varieties,NA,AGRICULTURE,MAHARASHTRA,23,10,2022
CHAKUR,Others,2022-10-23T16:50:49.517,"Pigeon pea (red gram/arhar/tur)",LATUR,3119868,"हवामान विभागाच्या अंदाजानुसार आपल्या चाकूर  तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  नाही..आजचे तापमान -कमाल - 29 अंश सेल्सियस आणि किमान -22  अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  8  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,23,10,2022
MALKAPUR,Pulses,2022-10-23T16:52:54.36,"Pigeon pea (red gram/arhar/tur)",BULDANA,3119865,"वाढीसाठी - १९ १९ १९ ४० ग्रॅम + मायक्रोला ३० मिली  /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी
","FARMER ASKED ABOUT FERTILIZER SPRAY FOR GROWTHN ON PIGEON PEA ?
","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,23,10,2022
KALAMNURI,Others,2022-10-23T16:57:02.48,Others,HINGOLI,3119842," हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील. पावसाची शक्‍यता नाही..आजचे तापमान -कमाल - 30 अंश सेल्सियस आणि किमान -20  अंश सेल्सियस  ,आर्दता सरासरी 60 टक्के वाऱ्याचा वेग -तासी  8  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद  शुभ दिवस
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,23,10,2022
SANGRAMPUR,Others,2022-10-23T17:38:37.963,Others,BULDANA,3119839,"संग्रामपूर तालुका हवामान अंदाज -- पुढील ५ दिवसात वातावरण क्लिअर राहील  ,  पावसाची शक्यता नाही  ,  तापमान - किमान - १८ ℃ आणि कमाल - ३० ℃,  , वाऱ्याचा वेग ताशी -६ / ताशी, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,23,10,2022
