BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
TRIMBAK,Others,2023-06-11T15:38:52.767,Others,NASIK,5486966,"त्रिंबक तालुक्याचा हवामान अंदाज :-  येत्या आठवड्यात वातावरण ढगाळ राहील व  पावसाची शक्यता आहे. तापमान = किमान २८°c , कमाल ३४  °c . आर्द्रता = किमान ३६   % , कमाल ६८  % .  वाऱ्याचा वेग १४ कि.मी./ तास धन्यवाद...","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
SHEGAON,Others,2023-06-11T15:52:17.447,Others,BULDANA,5487040," तालुका हवामान अंदाज -येत्या आठवड्यात ढगाळ वातावरण राहील ,हलक्या- मध्यम पावसाची शक्यता आहे 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
ACHALPUR,Others,2023-06-11T15:53:38.723,Others,AMRAVATI,5487632,"तालुका हवामान अंदाज या आठवड्यात ढगाळ वातावरण राहील,
हलक्या ते मध्यम पावसाची शक्यता आहे
आजचे  तापमान(अंश सेल्सियस ) -28 आणि कमाल- 42,
वाऱ्याचा वेग(किमी/तास) -१२ ,धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
PALGHAR,Others,2023-06-11T15:57:44.61,Others,PALGHAR,5489673,"राजस्थान में मानसून 25 जून के लगभग आने की संभावना है","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
TASGAON,Others,2023-06-11T15:57:46.907,Others,SANGLI,5486976,"हवामान अंदाज - वातावरण अंशतः ढगाळ राहील, काही भागात पावसाची शक्‍यता राहील . कमाल तापमान 33 अंश सेल्सिअस, किमान तापमान 24 अंश सेल्सिअस . वाऱ्याचा वेग 14 किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
BHOKARDAN,Others,2023-06-11T16:11:51.82,Others,JALNA,5487805,"हवामान खात्यानुसार आपल्या भोकरदन तालुक्यात ह्या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता नाही.
कमाल तापमान - ४० ℃ ,किमान तापमान - २३ ℃ .
वाऱ्याचा वेग - २१ किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
MALKAPUR,Others,2023-06-11T16:12:52.067,Others,BULDANA,5487189,"हवामान विभागाच्या अंदाजानुसार आपल्या मलकापूर  तालुक्यात, येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या पावसाची शक्यता आहे. आजचे कमाल तापमान- ३२ अंश सेल्सियस आणि किमान तापमान  २४ अंश सेल्सियस राहील. वाऱ्याचा वेग -१३ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
KARANJA,Others,2023-06-11T16:22:59.22,Others,WASHIM,5487592,"कारंजा तालुक्यातील  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे ,सौम्य हलक्या पावसाची शक्यता आहे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
ASHTI,Others,2023-06-11T16:30:50.78,Others,BEED,5487555,"शेती विषयी आणि सरकारी कृषी योजना संबधी अधिक माहिती साठी तालुका कृषी अधिकारी याना भेट द्या .
","Farmer asked about Government Scheme ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,11,6,2023
TIRORA,Others,2023-06-11T11:49:55.837,Others,GONDIYA,5487503,"शेती विषयी शासकीय योजनांबद्दल अधिक माहितीसाठी तालुका कृषी अधिकारी याना भेट द्या, धन्यवाद.
","ASKED ABOUT GOVERNMENT SCHEME ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,11,6,2023
DHULE,Others,2023-06-11T11:51:21.15,Others,DHULE,5487011,"हवामान विभागाच्या अंदाजानुसार आपल्या धुले तालुक्यात, येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या पावसाची शक्यता आहे. आजचे कमाल तापमान- ३० अंश सेल्सियस आणि किमान तापमान  २० अंश सेल्सियस राहील. वाऱ्याचा वेग -१५ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
LOHARA,Others,2023-06-11T11:57:03.377,Others,OSMANABAD,5487148,"हवामान विभागाच्या अंदाजानुसार आपल्या लोहरा तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - ३८ अंश सेल्सियस आणि किमान -२५ अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  २१ किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
DARWHA,Others,2023-06-11T12:13:29.42,Others,YEVATMAL,5487510,"हवामान विभागाच्या अंदाजानुसार आपल्या दरव्हा  तालुक्यात, येत्या आठवड्यात ढगाळ वातावरण राहील आणि हलक्या पावसाची शक्यता आहे. आजचे कमाल तापमान- ३२ अंश सेल्सियस आणि किमान तापमान  २४ अंश सेल्सियस राहील. वाऱ्याचा वेग -१३ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,6,2023
