BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MANWAT,Others,2023-09-14T14:20:40.073,Others,PARBHANI,6735460,"मानवत तालुक्याचा हवामान अंदाज :-  येत्या आठवड्यात वातावरण ढगाळ राहील व  पावसाची शक्यता आहे. तापमान = किमान २१ °c , कमाल २६ °c . आर्द्रता = किमान ५४   % , कमाल ८८  % .   वाऱ्याचा वेग १९ कि.मी./ तास धन्यवाद.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,14,9,2023
LONAR,Others,2023-09-15T12:32:30.537,Others,BULDANA,6748326,"हवामान विभागाच्या अंदाजानुसार आपल्या  लोनार तालुक्यात - या आठवड्यामध्ये वातावरण ढगाळ राहील. हलक्या ते मध्यम पावसाची शक्यता आहे .आजचे तापमान -कमाल - 29 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  25  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
NIPHAD,Others,2023-09-15T12:38:20.537,Others,NASIK,6748507,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, मध्यम ते हलक्या पावसाची शक्यता आहे.आजचे तापमान -कमाल  27 अंश सेल्सियस आणि किमान -22 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 14  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
PATHARDI,Millets,2023-09-15T12:51:45.037,"Sorghum (Jowar/Great Millet)",AHMADNAGAR,6748503,"ज्वारी पिकाची पेरणी कालावधी - 
२५ सेप्टेंबर ते १५ ओक्टोंबर)  ","FARMER ASKED ABOUT SOEING TIME OF JOWAR ?","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
"AUNDHA  NAGNATH","Condiments and Spices",2023-09-15T12:57:11.683,Turmeric,HINGOLI,6748639,"12:61:00 100 ग्रॅम/15 लिटर पाण्यात फवारणी करावी","farmer asked about branching in turmeric ?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,15,9,2023
JALGAONJAMOD,Others,2023-09-15T12:57:44.85,Others,BULDANA,6748768,"हवामान विभागाच्या अंदाजानुसार आपल्या तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, मध्यम ते हलक्या पावसाची शक्यता आहे.आजचे तापमान -कमाल  25 अंश सेल्सियस आणि किमान -22 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 18  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
NER,"Fiber Crops",2023-09-15T13:10:23.893,"Cotton (Kapas)",YEVATMAL,6748484,"अलिका 8 मिली / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. ","Farmer asked about attack of sucking pest on cotton ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
NASHIK,Others,2023-09-15T13:19:14.747,Others,NASIK,6748836,"हवामान खात्यानुसार आपल्या नाशिक तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या ते मध्यम पावसाची शक्यता आहे. कमाल तापमान - ३१  ℃, किमान तापमान - २० ℃, वाऱ्याचा वेग - १७ किमी प्रति तास राहील. हवामानाच्या अंदाजानुसार पिकाला पाणी आणि खताची मात्रा द्यावी. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
NANDGAON,Others,2023-09-15T13:20:43.9,Others,NASIK,6748236,"हवामान खात्यानुसार आपल्या नांदगाव तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या - मध्यम पावसाची शक्यता आहे.
कमाल तापमान - 30 ℃ ,किमान तापमान - 22 ℃ .
वाऱ्याचा वेग - 18 किमी प्रति तास.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
WADWANI,Others,2023-09-15T13:21:26.72,Others,BEED,6748488,"हवामान विभागाच्या अंदाजानुसार आपल्या वडवणी तालुक्यात ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील.आज पावसाची शक्यता  आहे ..आजचे तापमान -कमाल - 32 अंश सेल्सियस आणि किमान -22 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  23   किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
DHARANGAON,Vegetables,2023-09-15T13:22:18.887,Bhindi(Okra/Ladysfinger),JALGAON,6748353,"क्लोरोपायरीफॉस ३० मिली / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी ","Farmer asked about attack of shoot borer on okra ?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,15,9,2023
PATHRI,"Fiber Crops",2023-09-15T13:22:34.737,"Cotton (Kapas)",PARBHANI,6748771,"कापूस पिकामध्ये चांगल्या गुणवत्तेसाठी 00:52:34 60 ग्राम +  मायक्रोला 30 मिली / प्रति 15 लिटर पाण्यामध्ये घेऊन फवारणी करावी 


कापूस पिकावरील पांढरी मासी नियंत्रण :- उल्लाला  (फ्लोनिकाम्याड ) १००  ग्रॉम /२०० लिटर पाण्यात घेवून १ एकरसाठी फवारणी करावी, धन्यवाद.","FARMER ASKED ABOUT ATTACK OF WHITE FLY AND INCREASE QUALITY IN COTTON ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
NANDGAON,Others,2023-09-15T13:27:49.23,Others,NASIK,6748856," नाशिक जिल्ह्यातील नांदगाव तालुक्याचा हवामान अंदाज -येत्या पाच दिवसांमध्ये वातावरण ढगाळ राहील आणि हलक्या ते मध्यम पावसाची शक्यता आहे 
जास्तीत जास्त तापमान = 32 (℃)
कमीत कमी तापमान = 22 (℃)
जास्तीत जास्त आद्रता = ८७ %
कमीत कमी आद्रता = ६० %  
वाऱ्याचा वेग = 20  कि .मी / तास 
पावसाचा अंदाज बघून पिकांना पाणी आणि खत मात्रा द्यावी.धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
JINTUR,Others,2023-09-15T13:31:08.113,Others,PARBHANI,6748929,"परभणी जिल्हा जिंतूर तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान - 22℃ आणि कमाल- ३०  ℃ , वाऱ्याचा वेग ताशी - २२  किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
BARAMATI,Others,2023-09-15T13:44:59.53,Others,PUNE,6748228,"हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची शक्यता राहील, कमाल तापमान 31 अंश सेल्सिअस , किमान तापमान 23 अंश सेल्सिअस. वाऱ्याचा वेग 14 किलोमीटर प्रतितास.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
HINGOLI,"Fiber Crops",2023-09-15T13:49:27.613,"Cotton (Kapas)",HINGOLI,6748374,"पिकाच्या या अवस्थेमध्ये रासायनिक तणनाशकाची शिफारस केलेली नाही म्हणून सध्या खुरपणी करावी .
","Farmer Asked about weed management in cotton ?
","Weed Management",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
GHATANJI,Others,2023-09-15T14:00:10.08,"Cotton (Kapas)",YEVATMAL,6748625,"हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची शक्यता राहील, कमाल तापमान 27 अंश सेल्सिअस , किमान तापमान 23 अंश सेल्सिअस. वाऱ्याचा वेग 18 किलोमीटर प्रतितास.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
BEED,Others,2023-09-15T09:44:45.6,Others,BEED,6748401,"हवामान विभागाच्या अंदाजानुसार आपल्या बीड तालुक्यात - या आठवड्यामध्ये वातावरण ढगाळ राहील. हलक्या ते मध्यम पावसाची शक्यता आहे .आजचे तापमान -कमाल - 32 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  19  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
PAROLA,"Fiber Crops",2023-09-15T09:53:25.697,"Cotton (Kapas)",JALGAON,6748525,"उल्लाला ८ gm /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. (फ्लोनीकॅमीड ५०% WG) युपीएल
","Farmer asked about white fly attack on cotton?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
PUSAD,Others,2023-09-15T09:59:04.883,Others,YEVATMAL,6748660,"हवामान विभागाच्या अंदाजानुसार आपल्या  पुसद तालुक्यात - या आठवड्यामध्ये वातावरण ढगाळ राहील. हलक्या ते मध्यम पावसाची शक्यता आहे .आजचे तापमान -कमाल - 31 अंश सेल्सियस आणि किमान - 23 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  18  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,15,9,2023
GHATANJI,"Fiber Crops",2023-09-15T10:02:56.29,"Cotton (Kapas)",YEVATMAL,6748624,"कापूस पिकामध्ये पातेगळ नियंत्रण -
प्लानोफिक्स ५ मिली / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. बायर ","ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP IN COTTON CROP ? ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,15,9,2023
