BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SHIRPUR,Others,2024-04-08T10:44:56.843,Others,DHULE,888344,"हवामान विभागाच्या अंदाजानुसार आपल्या  शीरपुर तालुक्यात - या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील. पावसाची शक्यता नाही .आजचे तापमान -कमाल - 37 अंश सेल्सियस आणि किमान - 20 अंश सेल्सियस  ,वाऱ्याचा वेग -तासी  16  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे .धन्यवाद   ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,8,4,2024
DHULE,Others,2024-04-08T12:21:04.637,Others,DHULE,888622,"ऑगस्ट महिन्यामध्ये तुम्ही गाजर फुलकोबी पालक कोथिंबीर राजगिरा हे पीक घेऊ शकतात.धन्यवाद","FARMER ASKED ABOUT INFORMATION ABOUT AUGUEST MONTH CROP?","Sowing Time and Weather",NA,AGRICULTURE,MAHARASHTRA,8,4,2024
"0   ",Others,2024-04-08T12:54:39.53,Others,DHULE,888562,"--SUGGESTED TO CONTACT from Maharashtra registered SIM 
","Asked about General information
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,8,4,2024
DHULE,Others,2024-04-09T06:15:37.717,Others,DHULE,895785,"तालुका हवामान अंदाज -येत्या आठवड्यात ढगाळ वातावरण राहील,पावसाची शक्यता नाही. 
तापमान(अंश सेल्सियस ) - जास्तीत जास्त -22  , आणि कमीत कमी - 41   .
वाऱ्याचा वेग(किमी/तास) -2  , धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,9,4,2024
SHIRPUR,Others,2024-04-09T09:46:50.38,Others,DHULE,895661,"हवामान विभागाच्या अंदाजानुसार आपल्या शिरपूर  तालुक्यात,या आठवड्यामध्ये वातावरण ढगाळ राहील  पावसाची शक्यता नाही . आजचे तापमान जास्तीतजास्त तापमान ३७ अंश सेल्सियस आणि कमीतकमी तापमान २० अंश सेल्सियस ,वाऱ्याचा वेग -ताशी ८ किलोमीटर आहे, तर आद्रता जास्तीतजास्त २६ % आणि कमीतकमी ८ % राहील..हवामान विभागाच्या अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद ! ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,9,4,2024
DHULE,Others,2024-04-09T13:08:19.33,Others,DHULE,895633,"हवामान खात्यानुसार आपल्या धुळे तालुक्यात पुढील ५ दिवसांत वातावरण अंशतः ढगाळ आहे,हलक्या पावसाची  शक्यता आहे .
कमाल तापमान - ४० अंश सेल्सियस आणि किमान - २३ अंश सेल्सियस.
वाऱ्याचा वेग - तासी १४ किलोमीटर आहे.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,9,4,2024
SAKRI,Others,2024-04-10T17:15:36.323,Others,DHULE,905196,"हवामान विभागाच्या अंदाजानुसार, आपल्या अकोला   तालुक्यात येत्या आठवड्यात वातावरण अंशतः ढगाळ राहील, 12 13 आणि 15 ारखेला पावसाची शक्‍यता आहे. आजचे तापमान कमाल 38   अंश सेल्सियस आणि किमान 21   अंश सेल्सियस,वाऱ्याचा वेग - 13 किलोमीटर/ तास राहील. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,10,4,2024
SHIRPUR,Others,2024-04-11T06:17:26.67,Others,DHULE,914263,"हवामान अंदाज - वातावरण ढगाळ राहील, हलक्या स्वरूपाच्या पावसाची शक्‍यता राहील,
कमाल तापमान 39अंश सेल्सिअस, किमान तापमान 21  अंश सेल्सिअस . वाऱ्याचा वेग 9 किलोमीटर प्रति तास .
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,4,2024
DHULE,Others,2024-04-11T11:42:39.163,Others,DHULE,914080,"हवामान खात्यानुसार आपल्या धुले तालुक्यात ह्या आठवड्यामध्ये वातावरण ढगाळ राहील हलक्या - मध्यम पावसाची शक्यता आहे.कमाल तापमान - 40  ℃ ,किमान तापमान - 22 ℃ .वाऱ्याचा वेग - 18 किमी प्रति तास.हवामानाच्या अंदाजानुसार पिकाला पाणी आणि खताची मात्रा द्यावी","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,4,2024
SAKRI,Others,2024-04-11T12:18:22.65,Others,DHULE,914654,"

हवामान विभागाच्या अंदाजानुसार ,आपल्या साक्री     तालुक्यात पुढील 5 दिवसांत  वातावरण ढगाळ राहील . . पावसाची शक्यता नाही .आजचे तापमान - कमाल -३८  अंश सेल्सियस आणि किमान २२    अंश सेल्सियस  ,आद्रता ४४  % ,वाऱ्याचा वेग - तासी १२  किलोमीटर आहे. हवामान विभागाच्या अंदाजानुसार पेरणी , पिकास पाणी ,खत व्यवस्थापन , तण व्यवस्थापन याचे योग्य नियोजन करावे धन्यवाद . !","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,11,4,2024
