BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MAHAGAON,Others,2024-07-19T11:51:46.083,Others,YEVATMAL,1836758,"प्रधानमंत्री किसान सन्मान निधी योजनेचे स्टेटस चेक केल्यावर केवायसी पूर्ण झालेली दाखवत नाही .महा-ई-सेवा केंद्र मध्ये जाऊन  केवायसी करून घ्यावी धन्यवाद!

","FARMER ASKED ABOUT STATUS OF INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA? ","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
MAHAGAON,Oilseeds,2024-07-19T11:59:51.227,"Soybean (bhat)",YEVATMAL,1836374,"सोयाबीन पिकाची जास्त होणारी वाढ थांबवण्यासाठी-लेओसिन ४-५ मिलि / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.!
","FARMER ASKED ABOUT HOW TO STOP OVERGROWTH OF SOYABEAN CROP?","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
GHATANJI,"Fiber Crops",2024-07-19T12:29:25.703,"Cotton (Kapas)",YEVATMAL,1836542,"हवामान विभागाच्या अंदाजानुसार यवतमाळ जिल्ह्यातील घाटंजी तालुक्यात पुढील ५ दिवसाचे हवामान अंदाज- वातावरण ढगाळ राहील, आज पावसाची शक्यता मध्यम स्वरूपाची आहे. आजचे तापमान कमाल ३२ आणि किमान २७ अंश सेल्सियस, वाऱ्याचा वेग ताशी १२ ते १४ किलोमीटर व आद्रता ८० ते ९० टक्के दरम्यान राहील. हा हवामान अंदाज घेऊन आपण पिकात योग्य त्या वेळी कपाशी पिकात खतव्यवस्थापन करू शकता. धन्यवाद..! ","Farmer asked query on Weather","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
MAHAGAON,"Fiber Crops",2024-07-19T13:03:25.62,"Cotton (Kapas)",YEVATMAL,1836317,"हवामान विभागाच्या अंदाजानुसार 19 जुलै ते 23 जुलै 2024 या दरम्यान महागाव  तालुक्यात ढगाळ वातावरण राहील पावसाची शक्यता आहे.  तापमान कमाल - 29 अंश सेल्सियस आणि किमान - 22 अंश सेल्सियस राहील, वाऱ्याचा वेग - 23  किलोमीटर/ तास राहील. कापूस पिकामध्ये हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, तण व्यवस्थापन,कीड नियंत्रण,रोग नियंत्रण, सिंचन तसेच फवारणी आदी बाबींचे नियोजन करावे.","Farmer asked query on Weather","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
ARNI,"Fiber Crops",2024-07-19T14:03:05.857,"Cotton (Kapas)",YEVATMAL,1836494,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार यवतमाळ जिल्ह्यातील आर्णी तालुक्यात आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,हलक्या स्वरूपाचा पाऊस राहील. आजचे तापमान  कमाल 29 अंश सेल्सियस आणि किमान 22  अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 22किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद.","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
KALAMB,Vegetables,2024-07-19T14:28:43.66,Chillies,YEVATMAL,1836464,"मिरचीचे रोप लावण्याआधी त्याला कोणत्याही कमी कॉन्सन्ट्रेशन असलेल्या बुरशीनाशकातून बुडवून घ्यावे आणि त्यानंतर पेरणी करावे 
टीप - बुरशीनाशकाचे कॉन्सन्ट्रेशन कमी प्रमाणात असावे
 धन्यवाद","FARMER ASKED ABOUT FUNGISIDE TREATMENT FOR CHILLIES?","Cultural Practices",NA,HORTICULTURE,MAHARASHTRA,19,7,2024
DARWHA,Oilseeds,2024-07-19T15:25:21.2,"Soybean (bhat)",YEVATMAL,1836876,"येवतमाळ  जिल्हा दारव्हा तालुका हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान - २६ ℃ आणि कमाल -३० ℃ , वाऱ्याचा वेग ताशी - २० किलोमीटर/ ताशी , हवामानाचा अंदाज लक्ष्यात घेता आपण सोयाबीन पिकास आंतरमशागत करू शकता , धन्यवाद . ","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
DARWHA,Oilseeds,2024-07-19T15:50:08.11,"Soybean (bhat)",YEVATMAL,1836275,"हवामान विभागाच्या अंदाजानुसार  दारव्हा  तालुक्यात,  पुढील पाच दिवस वातावरण ढगाळ राहील  , हलक्या ते        मुसळधार स्वरूपाची  पावसाची शक्यता आहे.  सरासरी  तापमान जास्तीस जास्त -   २९  अंश सेल्सियस आणि कमीत कमी  -  २२  अंश सेल्सियस, वाऱ्याचा वेग -  २४  किलोमीटर/ तास आहे.हवामान विभागाचा अंदाज लक्षात घेऊन मशागतीची कामे करावीत .धन्यवाद!","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
PUSAD,"Fiber Crops",2024-07-19T16:01:56.45,"Cotton (Kapas)",YEVATMAL,1836465,"हवामान विभागाच्या अंदाजानुसार तुमच्या तालुक्यामध्ये  20  जुलै  ते  24  जुलै दरम्यान हलक्या ते मध्यम  स्वरूपाचा पाऊस पडण्याची शक्यता आहे वातावरण ढगाळ असेल  सरासरी  94 किलोमीटर पाऊस पडू शकतो आजचे किमान तापमान  22  अंश सेल्सिअस आणि कमाल तापमान 29  अंश सेल्सिअस राहण्याची शक्यता आहे आणि वाऱ्याचा वेग ताशी  24  किलोमीटर राहण्याची शक्यता आहे या हवामान अंदाजानुसार खताची , कीटकनाशकांची , तणनाशकाची फवारणी व सूक्ष्म अन्नद्रव्याची फवारणी करावी धन्यवाद
","Farmer asked query on Weather","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
PUSAD,"Fiber Crops",2024-07-19T18:37:54.557,"Cotton (Kapas)",YEVATMAL,1836033,"कापूस पिकाच्या वाढीसाठी -१९:१९:१९-६० ग्रॅम + सुक्ष्म अन्नद्रव्ये 30 मिली /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी
","Farmer asked about Spraying for growth of cotton crop ?","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
ARNI,"Fiber Crops",2024-07-19T19:24:18.957,"Cotton (Kapas)",YEVATMAL,1836246,"आपल्या कापूस पिकाच्या वाढीसाठी आपण : 19 19 19 ४० ग्राम + मिक्रोल्ला ३० मिली +  इस्साबियॉन टॉनिक ३० मिली / १५ लिटर पाण्यात घेऊन ह्या औषधांची फवारणी करू शकता , धन्यवाद . ","FARMER ASKING ABOUT NUTRIENT MANAGEMENT OF COTTON CROP ?  ","Nutrient Management",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
MAHAGAON,Oilseeds,2024-07-19T19:57:43.99,"Soybean (bhat)",YEVATMAL,1836378,"पिकातील पाने खाणारी अळी नित्रणासाठी - इमामेक्टीन बेन्झोएट ५%-५ ग्रॅम/१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.(प्रोक्लेम,मिसाईल,ईएम)
","farmer asked about attack of leaf eating catterpillar on soybean  ?","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
UMARKHED,Others,2024-07-19T20:52:22.783,Others,YEVATMAL,1836658,"प्रधानमंत्री पीक विमा योजना - फोन नंबर - रिलायन्स जनरल इन्शुरन्स कंपनी लि. टोलफ्री क्रमांक 1800 102 4088 (उर्वरित भारतासाठी) 

प्रधानमंत्री पिक विमा योजना =केंद्रीय कृषी आणि शेतकरी कल्याण मंत्री अर्जुन मुंडा यांनी प्रधानमंत्री पिक विमा योजना अंतर्गत किसान रक्षक हेल्पलाइन 14 447 हा हेल्पलाइन जारी केलेला आहे यावर आपण पिक विमा, तक्रार, संपर्क करू शकता 

प्रधानमंत्री पिक विमा योजने बद्दल माहितीसाठी पिक विमा कंपनीशी संपर्क साधावा 
पिक विमा कंपनीशी संपर्क न झाल्यास तालुका कृषी अधिकाऱ्यांकडे पीक विम्यासाठी लेखी अर्ज करावा धन्यवाद
","FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA ? 
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,19,7,2024
PUSAD,"Fiber Crops",2024-07-20T08:57:11.45,"Cotton (Kapas)",YEVATMAL,1850093,"हवामान विभागाच्या अंदाजानुसार यवतमाळ जिल्हा पुसद तालुक्यात  पुढील पाच दिवस 20 जुलै ते 24 जुलै वातावरण  ढगाळ राहील , चांगला पावसाची शक्यता आहे.  तापमान कमाल  29 अंश सेल्सिअस आणि किमान 22 अंश सेल्सिअस आणि वाऱ्याचा वेग ताशी 24 किलोमीटर आहे .  हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण ,सिंचन, आदि बाबींचे नियोजन करावे   .
वरील हवामान विभागाच्या अंदाजानुसार कापूस पिकामध्ये खत व्यवस्थापन करावे धन्यवाद
","Farmer asked query on Weather","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,20,7,2024
PUSAD,"Fiber Crops",2024-07-20T09:16:18.707,"Cotton (Kapas)",YEVATMAL,1849802,"हवामान विभागाच्या अंदाजानुसार यवतमाळ जिल्हा पुसद तालुक्यात  पुढील पाच दिवस 20 जुलै ते 24 जुलै वातावरण  ढगाळ राहील , पावसाची शक्यता आहे.  तापमान कमाल  29 अंश सेल्सिअस आणि किमान 22 अंश सेल्सिअस आणि वाऱ्याचा वेग ताशी 24 किलोमीटर आहे .  हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण ,सिंचन, आदि बाबींचे नियोजन करावे   .
वरील हवामान विभागाच्या अंदाजानुसार कापूस पिकामध्ये कीटकनाशक व बुरशीनाशक ची फवारणी घ्यावी धन्यवाद
","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,20,7,2024
MAHAGAON,Oilseeds,2024-07-20T09:30:09.33,"Soybean (bhat)",YEVATMAL,1850056,"हवामान खात्याच्या अंदाजानुसार , तुमच्या जिल्हा - यवतमाळ , तालुका - महागाव येत्या आठवड्यात वातावरण ढगाळ राहील , हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान - २५ ℃ आणि कमाल - ३० ℃ , वाऱ्याचा वेग ताशी - १० किलोमीटर/ ताशी राहण्याची शक्यता आहे . हवामान अंदाजानुसार सोयाबीन पिकाला कीटकनाशकांची फवारणी करावी  ","Farmer asked query on Weather","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,20,7,2024
NER,Others,2024-07-20T09:51:19.62,Others,YEVATMAL,1850339,"⦁	प्रधानमंत्री किसान सन्मान निधी योजनेची  ई-केवायसी  पूर्ण झालेली दाखवत नाही, महा-ई-सेवा केंद्रामध्ये जाऊन  ई-केवायसी करून घ्यावी .
अधिक माहितीसाठी : आपल्या तहसील कार्यालयामध्ये नोडल अधिकारी (कृषी अधिकारी) यांच्याशी संपर्क साधावा किंवा पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606  या नंबर वरती संपर्क करावा. धन्यवाद..!

","FARMER ASKED ABOUT STATUS OF INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ? ","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,20,7,2024
