BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MANGALVEDHE,Millets,2025-06-01T06:20:54.59,"Maize (Makka)",SOLAPUR,4434643,"हवामान विभागाच्या अंदाजानुसार सोलापूर जिल्हा, मंगळवेढे तालुक्यामध्ये वातावरण ढगाळ राहील पावसाची शक्यता फार कमी आहे. तापमान कमाल ३४ डिग्री सेल्सिअस व किमान तापमान २४ डिग्री सेल्सिअस राहील. वाऱ्याचा वेग ताशी ११ किलोमीटर राहील. हवामान विभागाच्या अंदाजानुसार मका पिकासाठी मशागतीचे नियोजन करू शकता धन्यवाद. ","Farmer asked query on Weather","	Field Preparation	",NA,AGRICULTURE,MAHARASHTRA,1,6,2025
PANDHARPUR,Oilseeds,2025-06-01T13:22:44.827,"Soybean (bhat)",SOLAPUR,4434700,"नमस्कार सर, हवामान विभागाच्या अंदाजानुसार आपल्या सोलापूर जिल्ह्यातील पंढरपूर तालुक्यात पुढील पाचही दिवस वातावरण ढगाळ असेल. हलक्या पावसाची शक्यता दाखवलेली आहे. जास्तीत जास्त तापमान  ३२ अंश सेल्सिअस, कमीत कमी तापमान २६ अंश सेल्सिअस व वाऱ्याचा वेग १४  किमी प्रति तास असेल. या हवामान विभागाच्या अंदाजानुसार आपण आपल्या सोयाबीन पिकाच्या पेरणीचे नियोजन करू शकता धन्यवाद","Farmer asked query on Weather","Sowing Time and Weather",NA,AGRICULTURE,MAHARASHTRA,1,6,2025
AKKALKOT,Others,2025-06-01T13:33:30.653,Others,SOLAPUR,4434478,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार सोलापूर  जिल्हा अक्कलकोट  तालुक्यामध्ये वातावरण पुढील पाचही दिवस ढगाळ राहील हलका ते तुरळक पावसाची शक्यता पुढील पाचही दिवस दाखवलेली आहे जास्तीत जास्त तापमान ३१ डिग्री सेल्सियस कमीत कमी तापमान २४ डिग्री सेल्सिअस राहील वाऱ्याचा वेग ७ ते११ किलोमीटर प्रतिताशी राहील या हवामान अंदाजानुसार जमीन मशागतीचे  नियोजन करावे धन्यवाद","Farmer asked query on Weather","	Field Preparation	",NA,AGRICULTURE,MAHARASHTRA,1,6,2025
KARMALA,Millets,2025-06-01T13:48:40.023,"Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)",SOLAPUR,4434578,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार सोलापूर  जिल्हा करमाळा  तालुक्यामध्ये वातावरण पुढील पाचही दिवस ढगाळ राहील हलका ते तुरळक पावसाची शक्यता पुढील पाचही दिवस दाखवलेली आहे जास्तीत जास्त तापमान ३३ डिग्री सेल्सियस कमीत कमी तापमान २४ डिग्री सेल्सिअस राहील वाऱ्याचा वेग ११ ते१४ किलोमीटर प्रतिताशी राहील या हवामान अंदाजानुसार पेरणीचे  नियोजन करावे धन्यवाद","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,6,2025
"SOLAPUR NORTH",Others,2025-06-01T16:36:56.177,Others,SOLAPUR,4434746,"नमस्कार, शेतकरी ओळखपत्र क्रमांक मिळण्यासाठी आपण जवळच्या महा-ई-सेवा केंद्र शी संपर्क करा किंवा ऍग्री स्टॅक वेबसाईटला भेट द्या. धन्यवाद!","FARMER ASKED INFORMATION ABOUT FARMER ID?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,1,6,2025
MANGALVEDHE,Fruits,2025-06-02T10:35:13.727,Pomegranate,SOLAPUR,4441172,"शेतकरी साहेब, नाशिक जिल्हा चांदवड तालुक्यात दि.02 ते 06 जून दरम्यानचे हवामान अंदाज- अंशतः ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊस पडला तर तुरळक-हलका पडेल. किमान तापमान 24° से. आणि कमाल तापमान 34° से. पर्यंत असेल. वाऱ्याचा वेग ताशी 11 -14 कि.मी. व आद्रता 28 ते 60 % दरम्यान राहण्याची शक्यता आहे. या अंदाजानुसार डाळिंब पिकाचे  नियोजन करावे ,धन्यवाद....!","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,6,2025
MANGALVEDHE,Millets,2025-06-02T10:45:28.31,"Maize (Makka)",SOLAPUR,4441616,"महोदय,  हवामान विभागाच्या अंदाजानुसार आपल्या सोलापूर जिल्हा मंगळवेढा तालुक्यात 01 जून ते 05 जून 2025 वातावरण अंशतः ढगाळ असेल,  हलक्या पावसाची शक्यता आहे. कमाल तापमान 35 अंश सेल्सिअस,  किमान तापमान 23 अंश सेल्सिअस, वाऱ्याचा वेग सरासरी 11 ते 14 किलोमीटर प्रतितास असेल. हवामान विभागाच्या अंदाजानुसार मका पिकाची लागवड करावी. धन्यवाद.","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,2,6,2025
SANGOLA,Others,2025-06-02T13:53:24.197,Others,SOLAPUR,4441638,"नमस्कार, प्रधानमंत्री फसल बीमा योजना अंतर्गत पिक विम्याची माहिती तपासण्या करता आपल्याकडून योग्य ती माहिती न मिळाल्याने आपले स्टेटस चे होऊ शकत नाही. कृपया आपले आधार कार्ड आणि आधार कार्ड ला लिंक असणारा मोबाईल जवळ असताना कॉल करा. धन्यवाद!","Farmer asked information about the crop insurance amount under the Prime Minister's Fasal Beema Yojana?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,6,2025
"SOUTH  SOLAPUR",Pulses,2025-06-02T14:33:24.36,"Pigeon pea (red gram/arhar/tur)",SOLAPUR,4441587,"महोदय, हवामान खात्याच्या अंदाजानुसार, तुमच्या दक्षिण सोलापूर  तालुकामध्ये हलक्या ते मध्यम पाऊस पडण्याची शक्यता आहे, अंशतः ढगाळ वातावरण असेल. किमान तापमान २४ अंश सेल्सिअस आणि कमाल तापमान - ३५ अंश सेल्सिअस राहण्याची शक्यता आहे आणि वाऱ्याचा वेग ताशी - १४ किलोमीटर राहण्याची शक्यता आहे. हवामान अंदाजानुसार आपल्या तूर पिकाची पेरणी  नियोजन करावे धन्यवाद","Farmer asked query on Weather","Sowing Time and Weather",NA,AGRICULTURE,MAHARASHTRA,2,6,2025
SANGOLA,Pulses,2025-06-02T16:12:25.843,"Pigeon pea (red gram/arhar/tur)",SOLAPUR,4438867,"नमस्कार सर हवामान विभागाच्या अंदाजानुसार  सोलापूर जिल्हा सांगोला तालुक्यात  ,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,हलक्या  पावसाची शक्यता   आहे .आजचे तापमान  कमाल -34 अंश सेल्सियस आणि किमान -25 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 18 किलोमीटर आहे.हवामान अंदाजानुसार तुर पिकाची काढणी व्यवस्थापन नियोजन करावे धन्यवाद  ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,6,2025
