BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MALEGAON,Pulses,2025-03-01T12:32:33.59,"Green Gram (Moong Bean/ Moong)",WASHIM,3792700,"मलेगाओं  तालुक्याचा हवामान अंदाज - हवामान विभागाच्या अंदाजानुसार या आठवड्यामध्ये वातावरण स्वच्छ राहील पावसाची शक्यता नाही .
सरासरी तापमान :- कमीत  कमी तापमान  16 अंश सेल्सियस आणि जास्तीत जास्त तापमान  31 अंश सेल्सियस राहील , वाऱ्याचा वेग 9 किलोमीटर/ तास आहे. हवामान विभागाच्या अंदाजानुसार मूक पिकाला पाणी देण्याचे नियोजन करावे धन्यवाद","Farmer asked query on Weather","	Water Management	",NA,AGRICULTURE,MAHARASHTRA,1,3,2025
RISOD,Others,2025-03-01T13:31:15.053,Others,WASHIM,3793005,"शेतकरी साहेब, फार्मर आयडी कार्ड विषयी अधिक माहितीसाठी- डिजिटल कृषी- कृषी आणि शेतकरी कल्याण विभाग, कृषी भवन, नवी दिल्ली संपर्क क्रमांक: 011-23382926, ईमेल: us-it@gov.in. या नंबरवर संपर्क साधून चौकशी करावी. वयक्तिक मार्गदर्शनासाठी-आपल्या क्षेत्राचे कृषी सहायक / ग्राम महसूल अधिकारी (तलाठी) याच्याशी संपर्क साधावा. धन्यवाद..!","FARMER ASKED INFORMATION ABOUT FARMER ID CARD AND THIEIR REGARDING CONTACT NUMBER ? 
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,1,3,2025
MALEGAON,Cereals,2025-03-01T13:52:50.377,Wheat,WASHIM,3793027,"शेतकरी साहेब, वाशीम जिल्हा मालेगाव  तालुक्यात दि.१ ते ५ मार्च दरम्यानचे हवामान अंदाज- अंशतः ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊस नसेल. किमान तापमान २७° से. आणि कमाल तापमान ३७ ° से. पर्यंत असेल. वाऱ्याचा वेग ताशी ११  कि.मी. दरम्यान राहण्याची शक्यता आहे. या अंदाजानुसार गहू पिकाचे काढणी  चे नियोजन  करावे. धन्यवाद..!","Farmer asked query on Weather","Post Harvest Preservation",NA,AGRICULTURE,MAHARASHTRA,1,3,2025
KARANJA,Pulses,2025-03-01T14:28:21.903,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",WASHIM,3799019,"
 महोदय, हवामान विभागाच्या अंदाजानुसार वाशिम जिल्ह्यातील कारंजा तालुक्यात, पुढील पाच दिवसात वातावरण अंशतः ढगाळ स्वरूपाचे राहील, पावसाची शक्यता नाही.आजचे तापमान  कमाल ३८ अंश सेल्सियस आणि किमान २६ अंश सेल्सियस ,वाऱ्याचा वेग -ताशी ०७  किलोमीटर आहे. हवामान अंदाजानुसार हरभरा  पीक काढण्याचे नियोजन करावे. धन्यवाद...!","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,3,2025
WASHIM,Pulses,2025-03-01T16:53:47.68,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",WASHIM,3799230,"हवामान विभागाच्या अंदाजानुसार     वाशिम  जिल्हा  मंगरूळपीर     तालुका मध्ये पाच दिवसांमध्ये वातावरण  अंशतः ढगाळ राहील  , पावसाची शक्यता नाही.  तापमान कमीत कमी 26अंश सेल्सिअस , जास्तीत जास्त 32 अंश सेल्सिअस , वाऱ्याचा वेग 8 किलोमीटर प्रतितास .हवामान अंदाजानुसार    हरभरा काढणे  नियोजन       करू शकता.  धन्यवाद. 
","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,1,3,2025
RISOD,Cereals,2025-03-02T06:10:40.95,Wheat,WASHIM,3804585,"महोदय हवामान खात्याचा अंदाजानुसार तुमचा जिल्हा वाशीम,तालुका रिसोड मध्ये ०२ मार्च ते ०६ मार्च दरम्यान पावसाची काहीही शक्यता नाही,तसेच वातावरण अंशतः ढगाळ राहील आजचे किमान तापमान २१ अंश सेल्सिअस व कमाल तापमान ३६ अंश सेल्सिअस राहण्याची शक्यता आहे,आणि वाऱ्याचा वेग ताशी ०७ किलोमीटर राहण्याची शक्यता आहे,हवामान विभागाच्या अंदाजानुसार पिकाची काढणी पेरणी करावी, कीटकनाशकाची फवारणी,तणनाशकाचे फवारणी,सूक्ष्म अन्नद्रव्याचे फवारणी करावी, धन्यवाद. ","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,2,3,2025
MALEGAON,Others,2025-03-02T10:20:20.12,Others,WASHIM,3804340,"प्रधानमंत्री किसान सन्मान निधी योजनेच्या स्टेटस मध्ये आपली सर्व माहिती बरोबर दाखवत आहे, कृपया अधिक माहितीसाठी तालुका कृषी अधिकारी यांची भेट घ्यावी. धन्यवाद!","FARMER ASKED ABOUT STATUS OF INSTALLMENT OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,3,2025
MALEGAON,Pulses,2025-03-02T10:56:42.603,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",WASHIM,3804155,"महोदय, हवामान विभागाच्या अंदाजानुसार  वाशीम जिल्हातील मालेगाव  तालुक्यात हवामान  ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊसाची शक्यता नाही. किमान तापमान २०° से. आणि कमाल तापमान ३२° से. पर्यंत असेल. वाऱ्याचा वेग ताशी ११ कि.मी.राहण्याची शक्यता आहे. याअंदाजानुसार हरभरा  पिकाची काढणी  नियोजन करावे. धन्यवाद..!","Farmer asked query on Weather","Cultural Practices",NA,AGRICULTURE,MAHARASHTRA,2,3,2025
RISOD,Others,2025-03-02T13:42:24.72,Others,WASHIM,3804240,"रिसोड   तालुका हवामान विभागाच्या अंदाजानुसार तालुक्यात पुढील 5 दिवसात  वातावरण ढगाळ आहे,पावसाची शक्‍यता नाही तापमान कमीत कमी १९ अंश सेल्सिअस , जास्तीत जास्त - ३३   अंश सेल्सिअस, वाऱ्याचा वेग ७ किलोमीटर / तास,हवामान विभागाच्या अंदाजानुसार  पिकाच्या काढणी चे नियोजन करावे .धन्यवाद 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,3,2025
RISOD,Pulses,2025-03-02T14:25:52,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",WASHIM,3804229,"महोदय हवामान विभागाच्या अंदाजानुसार वाशीम  जिल्ह्यात रिसोड  तालुक्यात पुढील पाच दिवसात वातावरण ढगाळ राहील.   पावसाची शक्‍यता नाही . आजचे कमाल तापमान ३४ अंश सेल्सिअस व किमान तापमान २० अंश सेल्सिअस व वाऱ्याचा वेग ७   किलोमीटर प्रति तास राहील. हवामानाचा अंदाजानुसार आपण आपल्या हरभरा  पीक काढणी व्यवस्थापन करू शकता. धन्यवाद...! ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,3,2025
