BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
JANSATH,Others,2023-04-08T11:38:10.057,Others,MUZAFFARNAGAR,4935208,"श्री मान जी आप के यहां 8 से 14 अप्रैल तक कोई बारिस नहीं है | आज हल्के बादल छाए रहेंगे बाकी के शेष दिनों में मौसम साफ रहेगा | तथा 23 से 34°C तक तापमान रहेगा और हवा की गति 11-18km प्रति घंटा की स्पीड से रहेगी | मौसम के अनुसार कृषि कार्य करे | ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
BILGRAM,Vegetables,2023-04-08T11:39:45.297,Cauliflower,HARDOI,4935230,"महोदय 8 अप्रैल से 14 अप्रैल तक बारिश की कोई संभावना नहीं है आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 28°C और अधिकतम तापमान 38°C एवं हवा की गति 7 - 18 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य को करे","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
THAKURDWARA,Cereals,2023-04-08T11:42:20.843,Wheat,MORADABAD,4935175,"श्रीमान जी 8 अप्रैल से 14 अप्रैल के बीच में प्रतिदिन हल्के आंशिक रूप से बादल छाए दिख रहे हैं लेकिन बारिश होने की संभावना नहीं है आज के दिन अधिकतम तापमान 31 डिग्री सेल्सियस न्यूनतम तापमान 19 डिग्री सेल्सियस होने की संभावना है हवा की गति 7 किलोमीटर प्रति घंटे की होने की संभावना है हवा की दिशा पूरे दिन पश्चिमी बहने की संभावना है कृपया मौसम के अनुसार कृषि कार्य करें","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
"JALAL PUR",Vegetables,2023-04-08T11:42:32.123,Onion,"AMBEDKAR NAGAR",4935192,"श्रीमान जी आपके क्षेत्र में 08 अप्रैल  से 14 अप्रैल तक पूरे सप्ताह बारिश या बूंदाबांदी की कोई संभावना नहीं है ,आंशिक रूप से बादल छाए रहेंगे ,आज का अधिकतम तापमान 37°C ,न्यूनतम तापमान 24°C, हवाएं आपके क्षेत्र में  11 से 22 किलोमीटर प्रति घंटे की रफ्तार से चलने की संभावना है मौसम के अनुसार कृषि कार्य करें |
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
KHARKHODA,Vegetables,2023-04-08T11:43:08.91,Bhindi(Okra/Ladysfinger),MEERUT,4935242,"श्रीमान जी भिंडी की फसल में कॉपर ऑक्सिक्लोराइड 50% डब्ल्यूपी की 500 ग्राम मात्रा 200 लीटर पानी में घोलकर प्रति एकड़ की दर से स्प्रे करें  8 दिन बाद पुनः दवा की इसी मात्रा का स्प्रे करें |","Provide information about fungal problem in  Lady Finger ?","	Plant Protection	",NA,HORTICULTURE,"UTTAR PRADESH",8,4,2023
BIRDHA,Others,2023-04-08T11:43:16.927,Others,LALITPUR,4935210,"श्रीमान जी आपको 8 अप्रैल से 14 अप्रैल के बीच मौसम की जानकारी दी जा रही है जिसमें 8,9 अप्रैल को आंशिक रूप से हल्की बारिश व बूंदाबांदी की संभावना देखी जा रही है 10,14 अप्रैल को आंशिक रूप से हल्के बादल छाए रहने की संभावना देखी जा रही है सप्ताह के बाकी दिनों में मौसम साफ रहेगा आज का न्यूनतम तापमान 22 डिग्री सेंटीग्रेड अधिकतम 33 डिग्री सेंटीग्रेड रहेगा हवा की गति 7-11 किलोमीटर प्रति घंटा रहेगी,मौसम के अनुसार कृषि कार्य करें |
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
MUSKARA,Others,2023-04-08T11:44:06.77,Others,HAMIRPUR,4935202,"  श्रीमान जी आपके क्षेत्र में 8 अप्रैल से 14 अप्रैल तक का मौसम ज्ञात हो रहा है जिसमें देखा जा रहा है कि आपके यहां 9 अप्रैल में आंशिक रूप से हल्की बूंदाबांदी होने की संभावना है अन्य दिनों में मौसम साफ बने रहने की संभावना है आज का अधिकतम तापमान 33 डिग्री सेंटीग्रेड न्यूनतम 22 डिग्री सेंटीग्रेड हवा की गति 4 से 11 किलोमीटर प्रति घंटा की दर से चलने की संभावना है अतः कृषि कार्य मौसम के अनुसार करें |     ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
URUWAN,Others,2023-04-08T11:44:19.077,Others,ALLAHABAD,4936026,"श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना में आपका फार्म राज्य स्तर से रिजेक्ट कर दिया गया है अधिक जानकारी के लिए आप अपने ब्लॉक तथा जिले में कृषि उपनिदेशक कार्यालय से संपर्क करें |","Information about Prime Minister Kisan Samman Nidhi Yojana Status..? 
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
BISWAN,Fruits,2023-04-08T11:47:26.14,Lemon,SITAPUR,4936025,"--श्रीमान जी नींबू का पौधा प्राप्त करने के लिए सीमैप लखनऊ से संपर्क करें|"," Give information from where to get plants for lemon farming?","Vegetative Propagation and Tissue Culture",NA,HORTICULTURE,"UTTAR PRADESH",8,4,2023
UNCHAHAR,Others,2023-04-08T11:51:35.383,Others,RAEBARELI,4935482,"मौसम का पूर्वानुमान संभावना है अगले पांच दिनों में बारिश की कोई संभावना नहीं है आंशिक रूप से बादल छाए रहेंगे। आज की अपेक्षा अधिकतम तापमान 32°C और न्यूनतम तापमान 15°C है हवा की गति 9 किलोमीटर प्रति घंटा चलने की संभावना है मौसम को ध्यान में रखते हुए सिंचाई करें।","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",8,4,2023
