OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
1,Yakima River (North Shore),,,April 1 2026 to March 31 2027,361476.838347799
2,Yakima River (North Shore),,,April 1 2026 to March 31 2027,9614.58871879991
3,Interstate 82,,,April 1 2026 to March 31 2027,228390.12786086922
4,South Branch Extention Canal,,,April 1 2026 to March 31 2027,32821.370295897956
5,West Side canal,,,April 1 2026 to March 31 2027,1547.00916413156
6,Umtanum Rd,,,April 1 2026 to March 31 2027,2212.587683315155
7,Fogarty Ditch,,,April 1 2026 to March 31 2027,9997.046656164179
8,Lower Riverbottom Rd,,,April 1 2026 to March 31 2027,5543.348511383342
9,Wilson Creek,,,April 1 2026 to March 31 2027,51021.64983728131
10,Thorp Highway,,,April 1 2026 to March 31 2027,4458.142231854639
11,State Route 10,,,April 1 2026 to March 31 2027,34221.14686289082
12,Grade Creek Road,,,April 1 2026 to March 31 2027,3699.0242743161116
13,Purtteman Creek,,,April 1 2026 to March 31 2027,25049.012590094724
14,Lake Chelan shoreline,,,April 1 2026 to March 31 2027,68655.73136959308
15,Emerson Acres Road,,,April 1 2026 to March 31 2027,18765.513543087724
16,US Forest Service boundary,,,April 1 2026 to March 31 2027,738.7860695497048
17,US Forest Service boundary,,,April 1 2026 to March 31 2027,3584.3877598761164
18,US Forest Service boundary,,,April 1 2026 to March 31 2027,12.566053930150291
19,US Forest Service boundary,,,April 1 2026 to March 31 2027,2611.036406321387
20,US Forest Service boundary,,,April 1 2026 to March 31 2027,2552.39494247849
21,US Forest Service boundary,,,April 1 2026 to March 31 2027,5239.190572050683
22,Umatilla National Wildlife Refuge (Whitcomb Unit),,,April 1 2026 to March 31 2027,122751.92996656254
23,Grant-Dourglas County line,,,April 1 2026 to March 31 2027,15998.434724271086
24,County line to State Route 17,,,April 1 2026 to March 31 2027,6814.007066228345
25,State Route 17,,,April 1 2026 to March 31 2027,22878.300818579424
26,State Route 28,,,April 1 2026 to March 31 2027,27680.049759617224
27,First Avenue,,,April 1 2026 to March 31 2027,3427.114753055681
28,Sagebrush Flats Road,,,April 1 2026 to March 31 2027,4837.860890813913
29,Davis Canyon Road,E Road NW,,April 1 2026 to March 31 2027,13844.467068224378
30,E Road NW,,,April 1 2026 to March 31 2027,30123.928584433677
31,State Route 26,,,April 1 2026 to March 31 2027,73389.02150836086
32,Palouse River,,,April 1 2026 to March 31 2027,74962.54500729973
33,State Route 261,,,April 1 2026 to March 31 2027,141269.73897677238
34,Bengel Road,,,April 1 2026 to March 31 2027,2663.0996726214594
35,Wellsandt Road,,,April 1 2026 to March 31 2027,16047.178926561455
36,McCall Road,,,April 1 2026 to March 31 2027,94367.66948203533
37,Gering Road,,,April 1 2026 to March 31 2027,5057.833274382044
38,Lakin Road,,,April 1 2026 to March 31 2027,5071.218577187203
39,Weber Road,,,April 1 2026 to March 31 2027,11453.444890830746
40,Rock Creek,,,April 1 2026 to March 31 2027,83250.52132977161
41,Revere Road,,,April 1 2026 to March 31 2027,7711.907138498778
42,State Route 153,,,April 1 2026 to March 31 2027,1137.4334056671478
43,Libby Creek Road,,,April 1 2026 to March 31 2027,6278.142560063277
44,Texas Creek Road,County Road 1543,,April 1 2026 to March 31 2027,1547.1986547128402
45,State Route 153,,,April 1 2026 to March 31 2027,7749.887410429938
46,Old Carlton Road,,,April 1 2026 to March 31 2027,2309.4650209691627
47,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,882.3242213243209
48,Vinton Road,County Road 1552,,April 1 2026 to March 31 2027,13696.019502796751
49,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,9222.586499829056
50,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,4752.114368486357
51,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3953.6037038421823
52,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2610.064470708349
53,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1977.1993261160196
54,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2023.1553642102479
55,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1309.653950947931
56,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2222.107786726411
57,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3321.44860775617
58,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1326.8534965368644
59,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1764.6040918839403
60,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3929.7707777223745
61,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,5365.34007536153
62,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1318.1826102298967
63,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3662.1245627189624
64,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2627.292322917573
65,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,938.6577511563842
66,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,7938.0065084419975
67,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,604.6299670133313
68,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2562.348718135469
69,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,667.7225530564525
70,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1320.0190364403245
71,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1244.4045781887173
72,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,4989.082475838948
73,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1321.4834413505287
74,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2958.267756541692
75,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,6620.51914561902
76,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,7893.54812925245
77,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,661.407639498604
78,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,5961.685520797507
79,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2731.2829168769313
80,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1299.5506381599828
81,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2758.45538047461
82,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,7961.0485697025
83,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3563.9425495453784
84,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,4198.267558741233
85,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2582.797111756548
86,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1335.279017578735
87,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,3954.366005346357
88,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,2672.9971032599206
89,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,7437.154236526483
90,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,666.7414771331215
91,Okanogan National Forest External Border,,,April 1 2026 to March 31 2027,1279.6914050072453
92,South Ahtanum Creek,Yakama Indian Reservation,,April 1 2026 to March 31 2027,54781.14516201901
93,Reservation Creek,Yakama Indian Reservation,,April 1 2026 to March 31 2027,21420.10973677861
94,Yakama Indian Reservation,,,April 1 2026 to March 31 2027,1970.2134436954107
95,Diamond Fork - Ahtanum Creek Drainage Divide,0,,April 1 2026 to March 31 2027,42488.56337772481
96,Line of Site between US Forest Service Road 615 and Darland Mountain,,,April 1 2026 to March 31 2027,649.9087588670111
97,US Forest Service Road 615,,,April 1 2026 to March 31 2027,17659.113091946143
98,US Forest Service Road 613,,,April 1 2026 to March 31 2027,38829.56733464956
99,Ahtanum Creek,Yakama Indian Nation,,April 1 2026 to March 31 2027,12298.851018881413
100,US Forest Service Road 1020,,,April 1 2026 to March 31 2027,15567.622335219647
101,US Forest Service Trail 1127,,,April 1 2026 to March 31 2027,8484.44971424504
102,Dry Gulch Road,,,April 1 2026 to March 31 2027,33856.384541186206
103,State Route 20,,,April 1 2026 to March 31 2027,57985.11083744366
104,US Highway 97,,,April 1 2026 to March 31 2027,706.6320813192982
105,US Highway 97,,,April 1 2026 to March 31 2027,1820.5585766514046
106,Tunk Creek Road,,,April 1 2026 to March 31 2027,1207.0865855849888
107,Tunk Creek Road,,,April 1 2026 to March 31 2027,36348.39267762029
108,Okanogan River,,,April 1 2026 to March 31 2027,115996.05894789708
109,Chewiliken Valley Road,,,April 1 2026 to March 31 2027,38667.55001785015
110,Havillah Road,,,April 1 2026 to March 31 2027,75260.02488658633
111,Oroville Chesaw Road,Chesaw Road,,April 1 2026 to March 31 2027,6221.361760941183
112,Molson Road,,,April 1 2026 to March 31 2027,28498.896275033167
113,US-Canadian Border,,,April 1 2026 to March 31 2027,43621.03728192423
114,Lake Osoyoos Shoreline,,,April 1 2026 to March 31 2027,171.8400132434504
115,Danker Cutoff Road,,,April 1 2026 to March 31 2027,8329.554771627922
